"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2021-11-09",206.130005,207.970001,205.210007,207.039993,1129500,202.306519
"2021-11-10",207.559998,208.259995,205.149994,205.410004,1513600,200.713791
"2021-11-11",205.550003,206.820007,205.029999,205.600006,1063600,200.899475
"2021-11-12",205.429993,205.630005,202.199997,203.610001,1490700,198.954956
"2021-11-15",204.589996,205.220001,203.229996,204.820007,1433700,200.137299
"2021-11-16",204.990005,206.520004,203.779999,205.529999,1210000,200.831055
"2021-11-17",205.089996,205.389999,201.440002,202.460007,1213800,197.831253
"2021-11-18",202.300003,204.080002,200.580002,200.910004,1283100,196.316696
"2021-11-19",198.899994,199.789993,195.779999,199.360001,1858100,194.802124
"2021-11-22",202.759995,206.5,200.789993,204.149994,1746500,199.482605
"2021-11-23",205.880005,209.220001,205,209.089996,1658100,204.309662
"2021-11-24",208.300003,210.240005,207.25,208.630005,1433700,203.860199
"2021-11-26",201.399994,201.869995,196.880005,200.100006,1459000,195.525223
"2021-11-29",203.839996,204.160004,199.570007,200.880005,2668700,196.287369
"2021-11-30",198.710007,200.259995,196.059998,197,3748200,192.496078
"2021-12-01",202.020004,202.380005,195.320007,195.449997,1653700,190.981491
"2021-12-02",197.75,203.309998,197.009995,201.850006,1578200,197.235199
"2021-12-03",201.860001,202.149994,196.070007,197.729996,1642400,193.209381
"2021-12-06",199.75,202.75,198.029999,199.960007,1412300,195.388397
"2021-12-07",201.639999,204.440002,201.039993,203.300003,1339200,198.652039
"2021-12-08",203.5,204.369995,200.490005,202.089996,1355800,197.469696
"2021-12-09",200.889999,202.669998,199.75,200.729996,1231000,196.140793
"2021-12-10",203.970001,204.839996,199.600006,201.559998,1237600,196.951813
"2021-12-13",200.149994,200.190002,195.940002,196.210007,1901800,191.724136
"2021-12-14",196.850006,201.270004,196.660004,198.809998,1601000,194.264694
"2021-12-15",199.979996,200.389999,196.080002,198.080002,1397700,193.551392
"2021-12-16",201.059998,204.889999,199.910004,201.789993,1244300,197.176559
"2021-12-17",201.509995,201.580002,195.039993,197.240005,3511700,192.730591
"2021-12-20",194.369995,194.389999,189.259995,192.550003,2411600,188.147812
"2021-12-21",194.410004,198.699997,194.259995,196.869995,2352100,192.369034
"2021-12-22",196.600006,197.839996,195.800003,197.119995,922800,192.613327
"2021-12-23",198.809998,200.770004,197.869995,197.929993,707800,193.4048
"2021-12-27",198.809998,201.320007,197.899994,201.070007,977600,196.473022
