"","WEC.Open","WEC.High","WEC.Low","WEC.Close","WEC.Volume","WEC.Adjusted"
"2021-11-11",90.290001,90.599998,88.940002,89.040001,1038400,87.703407
"2021-11-12",89.190002,89.440002,88.5,88.75,1405300,87.417755
"2021-11-15",89.269997,90.559998,88.830002,90.550003,1017600,89.190735
"2021-11-16",90.550003,90.870003,89.940002,90.160004,998200,88.806595
"2021-11-17",89.839996,90.949997,89.419998,90.800003,770500,89.436989
"2021-11-18",90.650002,90.760002,89.610001,90.129997,710100,88.777039
"2021-11-19",90.5,90.800003,90.07,90.519997,1168300,89.161179
"2021-11-22",90.370003,91.910004,90.07,91.519997,826900,90.146172
"2021-11-23",91.690002,91.889999,90.879997,91,956900,89.63398
"2021-11-24",91.040001,91.169998,90.239998,90.690002,791300,89.328636
"2021-11-26",90.410004,91.209999,89.029999,89.169998,733900,87.831451
"2021-11-29",89.550003,90.839996,88.910004,90.489998,1062700,89.131638
"2021-11-30",89.610001,90.220001,86.839996,86.93,3677100,85.625076
"2021-12-01",87.339996,89.68,86.900002,87.68,1831800,86.363815
"2021-12-02",87.959999,89.519997,87.93,88.870003,1448200,87.535957
"2021-12-03",88.949997,91.370003,88.5,91.169998,1499700,89.801422
"2021-12-06",92,93.389999,91.589996,92.260002,1385700,90.875069
"2021-12-07",92.010002,92.889999,91.540001,92.339996,1122700,90.953865
"2021-12-08",92.330002,93.199997,91.709999,92.559998,1006900,91.170563
"2021-12-09",92.82,93.43,91.550003,92.800003,903400,91.406967
"2021-12-10",93.230003,93.849998,92.620003,93.480003,1446500,92.076752
"2021-12-13",93.57,95.620003,93.57,95.110001,1637200,93.682289
"2021-12-14",95.099998,95.379997,94.519997,94.760002,2062400,93.33754
"2021-12-15",94.980003,97.080002,94.980003,96.980003,2473600,95.524216
"2021-12-16",96.639999,98.800003,96.480003,98.360001,1812600,96.883499
"2021-12-17",97.839996,98.699997,96.239998,96.290001,2879100,94.844574
"2021-12-20",95.809998,96.519997,94.879997,96.269997,1179200,94.824867
"2021-12-21",96.660004,97.019997,94.279999,94.730003,1413200,93.307991
"2021-12-22",94.43,95.389999,94.07,94.769997,657200,93.347382
"2021-12-23",94.900002,95.260002,94.419998,94.650002,733400,93.229195
"2021-12-27",94.779999,95.370003,94.389999,95.279999,673600,93.849739
"2021-12-28",95.589996,96.529999,95.080002,96.5,651700,95.051414
"2021-12-29",96.650002,97.089996,96.349998,96.919998,556700,95.465118
"2021-12-30",97.190002,97.209999,96.410004,97.120003,503500,95.662117
"2021-12-31",97.18,97.5,96.300003,97.07,624500,95.612862
"2022-01-03",97.110001,97.110001,94.959999,96.089996,1215400,94.647568
