"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2021-11-29",241.5,243.009995,239.339996,239.460007,3749000,235.767365
"2021-11-30",237.839996,239.429993,235.300003,235.639999,4488300,232.006271
"2021-12-01",237.630005,239.710007,233.210007,233.25,3934700,229.653137
"2021-12-02",235.320007,241.440002,234.089996,240.080002,3783200,236.377792
"2021-12-03",241.169998,243.029999,238.050003,240.429993,2961100,236.722397
"2021-12-06",243.309998,247.600006,241.770004,246.059998,2623700,242.265579
"2021-12-07",247.259995,249.940002,246.809998,247.470001,2270700,243.653854
"2021-12-08",247.300003,248.679993,245.199997,247.600006,1814500,243.78186
"2021-12-09",247.059998,249.389999,246.059998,247.25,1983000,243.437241
"2021-12-10",248.639999,249.699997,247.070007,248.460007,1937800,244.628586
"2021-12-13",247.570007,248.470001,244.389999,245.740005,2548300,241.950516
"2021-12-14",245.509995,247,243.279999,244.610001,2682200,240.837952
"2021-12-15",246.080002,247.360001,244.009995,247.119995,2517600,243.309235
"2021-12-16",247.910004,249.899994,246.289993,248.350006,2297200,244.520264
"2021-12-17",246.589996,247.320007,242.229996,242.690002,4937100,240.088303
"2021-12-20",239.979996,240.899994,238.070007,240.639999,2769900,238.060287
"2021-12-21",242.699997,244.389999,240.770004,242.220001,2746200,239.623337
"2021-12-22",242,243.610001,241.089996,242.889999,1623000,240.286163
"2021-12-23",243.270004,246.809998,243.149994,245.639999,1655700,243.006683
"2021-12-27",246.210007,248.25,245.419998,247.949997,1176500,245.291916
