"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2021-06-23",48.464001,48.584,47.672001,48.012001,3905000,48.012001
"2021-06-24",48.490002,48.787998,47.986,47.998001,3434500,47.998001
"2021-06-25",48.099998,48.472,47.287998,48.405998,5296000,48.405998
"2021-06-28",48.633999,49.466,48.551998,49.408001,3795500,49.408001
"2021-06-29",48.709999,48.993999,47.93,48.647999,4774500,48.647999
"2021-06-30",48.563999,48.563999,47.566002,47.638,5466500,47.638
"2021-07-01",47.571999,48.532001,47.271999,48.467999,5718000,48.467999
"2021-07-02",48.694,49.745998,48.692001,49.608002,3666500,49.608002
"2021-07-06",50.150002,50.369999,49.136002,50.23,5034500,50.23
"2021-07-07",50.549999,50.757999,49.348,50.666,5402500,50.666
"2021-07-08",49.964001,50.896,49.124001,50.585999,4513000,50.585999
"2021-07-09",50.922001,51.486,50.506001,51.362,4791000,51.362
"2021-07-12",51.616001,51.894001,50.953999,51.158001,4102500,51.158001
"2021-07-13",51.18,51.689999,50.799999,51.408001,2545500,51.408001
"2021-07-14",51.580002,51.734001,50.726002,51.167999,3674500,51.167999
"2021-07-15",51.554001,52.380001,50.862,51.259998,6286000,51.259998
"2021-07-16",51.720001,52.554001,51.641998,51.688,4327000,51.688
"2021-07-19",51.02,51.669998,50.473999,51.326,4539000,51.326
"2021-07-20",51.897999,53.029999,51.599998,52.768002,3952500,52.768002
"2021-07-21",52.841999,53.203999,52.41,52.93,4078500,52.93
"2021-07-22",53.254002,54.287998,53.138,54.150002,4041500,54.150002
"2021-07-23",54.188,55.217999,53.723999,55.141998,4112500,55.141998
"2021-07-26",55.32,55.400002,54.428001,54.467999,3356500,54.467999
"2021-07-27",54.48,54.683998,53.335999,54.228001,3686500,54.228001
"2021-07-28",54.400002,54.764,53.816002,54.338001,4005500,54.338001
"2021-07-29",54.456001,55.34,54.433998,54.841999,4835000,54.841999
"2021-07-30",54.198002,54.756001,50,54.448002,9331500,54.448002
"2021-08-02",54.854,57.708,54.028,56.924,10210500,56.924
"2021-08-03",57.094002,59.599998,57,59.551998,7555000,59.551998
"2021-08-04",59.470001,61.119999,58.689999,60.804001,6016000,60.804001
"2021-08-05",61,61.301998,59.653999,60.004002,6621000,60.004002
"2021-08-06",59.709999,60.754002,59.200001,60.736,3981500,60.736
"2021-08-09",61.029999,61.099998,59.838001,60.222,3624500,60.222
"2021-08-10",60.306,60.872002,59.624001,60.080002,3611000,60.080002
"2021-08-11",60.285999,60.596001,58.742001,59.734001,4897500,59.734001
"2021-08-12",59.868,61.958,59.655998,61.132,5780500,61.132
"2021-08-13",60.700001,61.905998,60.442001,61.866001,2991500,61.866001
"2021-08-16",61.799999,61.799999,59.734001,60.487999,3789000,60.487999
"2021-08-17",60.028,60.453999,59.037998,59.726002,4477500,59.726002
"2021-08-18",59.638,59.779999,58.515999,58.543999,4402000,58.543999
"2021-08-19",57.557999,59.716,57.251999,59.155998,4093000,59.155998
"2021-08-20",59.540001,59.917999,59.066002,59.588001,3658000,59.588001
"2021-08-23",60.377998,61.689999,60.334,61.504002,4704500,61.504002
"2021-08-24",61.599998,61.602001,59.824001,59.967999,5207500,59.967999
"2021-08-25",60.099998,61.568001,60.035999,61.206001,4008500,61.206001
"2021-08-26",61.060001,62.313999,61.054001,62.026001,3659000,62.026001
"2021-08-27",62.096001,63.487999,61.773998,63.212002,4456000,63.212002
"2021-08-30",63.824001,64.379997,63.599998,63.877998,3393000,63.877998
"2021-08-31",64,64.115997,62.644001,63.028,5856500,63.028
"2021-09-01",63.507999,63.588001,60.886002,61.694,8388000,61.694
"2021-09-02",62.264,63.360001,62.091999,62.779999,4073500,62.779999
"2021-09-03",62.765999,64.286003,62.765999,64.038002,3534500,64.038002
