"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2021-07-06",50.990002,51.099998,49.209999,49.490002,6178800,47.795345
"2021-07-07",49.209999,49.689999,48.91,49.48,3009200,47.785686
"2021-07-08",48.73,48.970001,48.029999,48.34,4510800,46.684723
"2021-07-09",49.32,50.09,49.09,49.93,3569400,48.220284
"2021-07-12",49.560001,50.540001,49.25,50.279999,2990000,48.558292
"2021-07-13",50.299999,50.48,49.650002,49.959999,2722300,48.249249
"2021-07-14",49.889999,50.389999,48.990002,49.279999,4859200,47.592533
"2021-07-15",48.290001,49.669998,47.57,48.68,6848400,47.013084
"2021-07-16",48.959999,49.59,48.509998,49.380001,8166300,47.689114
"2021-07-19",48.349998,48.560001,47.32,47.580002,7374600,45.950752
"2021-07-20",47.580002,49.959999,47.330002,49.439999,6411300,47.747059
"2021-07-21",49.810001,50.490002,49.599998,50.060001,5143200,48.345833
"2021-07-22",49.990002,50.060001,49.509998,49.830002,4774100,48.123699
"2021-07-23",50.209999,50.540001,49.689999,49.970001,4411700,48.258907
"2021-07-26",49.5,50.48,49.470001,50.25,4557200,48.861778
"2021-07-27",49.639999,50.84,49.43,50.189999,6017600,48.803436
"2021-07-28",50.41,50.880001,49.91,50.349998,6609600,48.959015
"2021-07-29",50.91,51.759998,50.580002,51.299999,4450400,49.882771
"2021-07-30",51.049999,51.68,50.959999,51.330002,4527700,49.911942
"2021-08-02",51.73,52.560001,51.209999,51.279999,5429300,49.863323
"2021-08-03",51.450001,52.310001,50.810001,52,4523100,50.563438
"2021-08-04",51.599998,52.07,51.220001,51.490002,4305300,50.067528
"2021-08-05",51.810001,52.25,51.59,51.799999,4796300,50.368961
"2021-08-06",52.400002,53.52,52.349998,53.16,5601600,51.691387
"2021-08-09",53,53.720001,52.73,53.380001,4641400,51.905315
"2021-08-10",53.220001,54.040001,53.16,53.830002,4596300,52.34288
"2021-08-11",54.02,54.860001,53.790001,54.77,5026000,53.256912
"2021-08-12",54.77,55.02,54.43,54.889999,3872300,53.373592
"2021-08-13",54.720001,54.990002,53.77,53.869999,6786700,52.381775
"2021-08-16",53.509998,54.369999,53.169998,54.27,4338400,52.770729
"2021-08-17",53.889999,54.330002,53.400002,53.799999,4458100,52.313709
"2021-08-18",53.599998,54.549999,53.259998,53.529999,4584700,52.051163
"2021-08-19",52.93,53.32,52.540001,52.77,5392000,51.312164
"2021-08-20",52.759998,53.52,52.439999,53.32,4261800,51.846966
"2021-08-23",53.630001,54.400002,53.630001,54.060001,3598800,52.566528
"2021-08-24",54.23,54.880001,54.040001,54.529999,3503100,53.02354
"2021-08-25",54.700001,55.970001,54.529999,55.57,4656400,54.034809
"2021-08-26",55.560001,55.880001,55.400002,55.48,4310800,53.947296
"2021-08-27",55.490002,56.5,55.400002,56.41,4315600,54.851608
"2021-08-30",56.599998,56.639999,55.16,55.18,2473800,53.655586
"2021-08-31",55.290001,55.599998,54.880001,55.220001,3964000,53.694481
"2021-09-01",55.240002,55.540001,54.189999,54.400002,4792200,52.897133
"2021-09-02",54.5,54.669998,54.07,54.310001,3589700,52.80962
"2021-09-03",54.41,54.490002,53.720001,53.93,3049900,52.440113
"2021-09-07",53.889999,54,53,53.119999,3993100,51.652489
"2021-09-08",53.009998,53.09,52.52,52.98,4143100,51.516361
"2021-09-09",52.860001,53.66,52.799999,52.880001,4140400,51.419128
"2021-09-10",53.23,53.25,51.860001,51.91,6892500,50.475922
"2021-09-13",52.290001,52.599998,51.82,52.240002,4015600,50.796806
"2021-09-14",52.330002,52.5,50.880001,51.139999,4407100,49.727192
"2021-09-15",51.200001,52.18,51.049999,52.07,5786800,50.6315
"2021-09-16",52.419998,52.560001,50.98,51.369999,6188900,49.95084
"2021-09-17",51.18,51.490002,50.470001,51.150002,11538200,49.736916
"2021-09-20",49.84,49.939999,48.740002,49.59,6154500,48.220013
"2021-09-21",49.82,49.990002,49.130001,49.299999,4083100,47.938026
"2021-09-22",49.990002,50.389999,49.779999,49.93,4190700,48.550621
"2021-09-23",50.580002,52,50.470001,51.5,4696300,50.077248
"2021-09-24",51.310001,52.139999,51.310001,51.549999,2724800,50.125866
"2021-09-27",52.040001,53.790001,51.959999,53.400002,4790800,51.924759
"2021-09-28",53.529999,54.290001,52.799999,52.91,5439000,51.448296
"2021-09-29",52.810001,52.98,52.360001,52.630001,2829100,51.176033
"2021-09-30",52.970001,53.169998,51.830002,51.84,4400100,50.407856
"2021-10-01",51.84,53.369999,51.830002,52.919998,4899700,51.458015
"2021-10-04",52.75,53.889999,52.669998,52.849998,5220200,51.38995
"2021-10-05",53.189999,54.740002,53.049999,54.419998,4890800,52.91658
"2021-10-06",53.84,54.779999,53.540001,54.540001,5223500,53.033268
"2021-10-07",55.139999,55.419998,54.400002,54.529999,5684800,53.02354
"2021-10-08",54.669998,56.139999,54.610001,55.84,4712400,54.297352
"2021-10-11",55.889999,56.650002,55.48,55.52,4945300,53.986191
"2021-10-12",55.509998,56.060001,55.279999,55.509998,4697900,53.976467
"2021-10-13",55.5,55.639999,54.450001,55.290001,5423300,53.762543
"2021-10-14",55.900002,56.630001,55.5,56.57,6279800,55.007183
"2021-10-15",57.040001,57.700001,56.73,57.16,5498400,55.580883
"2021-10-18",57.07,57.990002,57,57.41,5218900,55.823975
"2021-10-19",55.990002,57.700001,55.5,57.650002,5765200,56.05735
"2021-10-20",57.650002,59.66,57.470001,59.310001,6276100,57.67149
"2021-10-21",59.48,60.060001,59.130001,59.740002,4178100,58.089611
"2021-10-22",59.990002,60.52,59.52,59.709999,4978500,58.060436
"2021-10-25",59.82,59.900002,59.23,59.400002,3416900,57.759003
"2021-10-26",59.529999,59.59,58.950001,59.099998,3896600,57.467289
"2021-10-27",58.790001,59.490002,58.380001,58.450001,4410600,56.835247
"2021-10-28",58.490002,59.52,58.490002,59.439999,3852400,57.797894
"2021-10-29",59.169998,59.75,59.029999,59.200001,4660700,57.895695
"2021-11-01",59.849998,60.060001,59.48,60.02,3694600,58.697628
"2021-11-02",59.98,60.470001,59.790001,59.93,3260900,58.609612
"2021-11-03",59.669998,60.48,59.529999,60.09,3024300,58.766087
"2021-11-04",59.889999,60.009998,58.509998,59.060001,3285400,57.758778
"2021-11-05",59.459999,59.68,58.77,58.82,3949600,57.524067
"2021-11-08",59.16,59.459999,58.709999,58.98,3218400,57.680542
"2021-11-09",58.610001,58.869999,58.16,58.580002,3770100,57.289356
"2021-11-10",58.459999,59.599998,58.43,59.16,4153300,57.856575
"2021-11-11",59.139999,60.439999,58.939999,59.990002,3831800,58.668289
"2021-11-12",60,60.150002,59.610001,60.080002,3394000,58.756306
"2021-11-15",60.290001,60.380001,59.73,59.91,2376000,58.590054
"2021-11-16",59.830002,59.939999,59.130001,59.150002,3395700,57.846798
"2021-11-17",59.009998,59.189999,57.830002,58.049999,2940600,56.771034
"2021-11-18",58.130001,58.419998,57.580002,57.77,2902500,56.4972
"2021-11-19",57.16,57.48,56.360001,57.07,3812600,55.812626
"2021-11-22",57.799999,58.860001,57.66,58.209999,2946600,56.927505
"2021-11-23",58.630001,59.07,58.310001,59.009998,2606300,57.709881
"2021-11-24",58.849998,59.32,58.439999,58.919998,2607900,57.621861
"2021-11-26",56.810001,57.169998,55.970001,56.75,3300100,55.499672
"2021-11-29",57.400002,57.700001,56.700001,57.009998,3797200,55.753944
"2021-11-30",56.32,56.32,54.580002,54.790001,7490200,53.582855
"2021-12-01",56.09,56.490002,54.099998,54.139999,4833300,52.947178
"2021-12-02",54.610001,56.52,54.490002,56.150002,4069900,54.912891
"2021-12-03",56.259998,56.360001,54.389999,54.880001,5346500,53.670876
"2021-12-06",55.23,56.16,54.740002,55.43,3789800,54.208755
"2021-12-07",55.970001,56.349998,55.560001,56.130001,4105700,54.893333
"2021-12-08",56.080002,57.419998,55.82,56.32,5629900,55.079147
"2021-12-09",56.200001,57.619999,55.860001,57.080002,5190100,55.822407
"2021-12-10",57.419998,57.470001,56.619999,56.73,4363400,55.48011
"2021-12-13",56.66,56.66,55.84,56.130001,3415600,54.893333
"2021-12-14",56.18,57.43,56.139999,56.779999,3663400,55.529011
"2021-12-15",56.900002,57.060001,55.880001,56.900002,3755100,55.64637
"2021-12-16",58.43,58.759998,57.669998,58.419998,5397800,57.132881
"2021-12-17",58.139999,58.360001,56.880001,57.5,14390300,56.23315
"2021-12-20",56.68,57,55.34,56.48,4102100,55.235622
"2021-12-21",57.16,58.130001,57.139999,57.889999,3413100,56.614559
"2021-12-22",57.849998,58.259998,57.689999,57.91,2337600,56.634117
"2021-12-23",58.18,58.82,58.02,58.110001,1841900,56.829708
"2021-12-27",58.200001,58.529999,57.93,58.52,2388300,57.230682
"2021-12-28",58.389999,58.98,58.34,58.459999,1810900,57.171997
"2021-12-29",58.619999,58.849998,58.290001,58.369999,1828500,57.083981
"2021-12-30",58.290001,58.68,57.93,57.970001,1587000,56.692799
"2021-12-31",57.959999,58.299999,57.860001,58.080002,1912000,56.800369
"2022-01-03",58.599998,59.02,58.349998,58.509998,3254600,57.220898
"2022-01-04",59.360001,61.220001,59.330002,60.599998,4918600,59.264847
"2022-01-05",61.209999,61.619999,60.060001,60.18,3673300,58.854103
"2022-01-06",61,61.439999,60.240002,61.299999,3510400,59.949429
