"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2021-06-15",219.889999,220.779999,216.259995,219.460007,5055900,213.523285
"2021-06-16",219.009995,219.389999,216.699997,217.160004,4156900,211.285507
"2021-06-17",216.970001,218.270004,207.880005,209.449997,7995300,203.784073
"2021-06-18",206.179993,211.809998,205.5,208.860001,7156400,203.210037
"2021-06-21",211.550003,215.229996,211.399994,213.210007,5633900,207.442368
"2021-06-22",213.490005,214.830002,211.179993,213.130005,3776400,207.364548
"2021-06-23",213.600006,216.770004,212.580002,213.789993,3283400,208.006653
"2021-06-24",216.539993,221.929993,215.330002,219.339996,6827600,213.40654
"2021-06-25",221.179993,221.75,215.270004,216.309998,11274200,210.458496
"2021-06-28",216.449997,216.779999,213.559998,216.270004,3172000,210.419571
"2021-06-29",218.039993,218.699997,214.589996,215.100006,3443400,209.281235
"2021-06-30",214.619995,217.949997,214.059998,217.630005,3249500,211.742813
"2021-07-01",219.160004,219.789993,216.149994,216.710007,2426300,210.847687
"2021-07-02",217.660004,218.369995,215.580002,217.759995,2433600,211.869263
"2021-07-06",217.410004,217.559998,211.339996,213.520004,4348100,207.743973
"2021-07-07",212.690002,215.059998,211.160004,214.690002,2707700,208.882324
"2021-07-08",210,213.899994,209.929993,212.110001,3723800,206.372131
"2021-07-09",215.899994,218.589996,214.399994,217.419998,3163800,211.538467
"2021-07-12",216.020004,218.949997,214.850006,218.580002,2509000,212.667084
"2021-07-13",218.960007,219.050003,214.699997,215.190002,2373300,209.368805
"2021-07-14",215.259995,215.639999,211.220001,211.639999,3185200,205.914825
"2021-07-15",210.279999,213.389999,210.119995,211.410004,2737500,205.69104
"2021-07-16",212.460007,212.699997,207.009995,207.949997,4368800,202.324646
"2021-07-19",202.270004,203.75,199.229996,203.080002,5391100,198.646744
"2021-07-20",203.039993,208.630005,202.309998,207.960007,3934300,203.420212
"2021-07-21",208.720001,210.960007,207.580002,210.729996,3407300,206.12973
"2021-07-22",211,211.380005,208.539993,209.160004,1931500,204.594009
"2021-07-23",209.5,210.369995,207.860001,209.529999,2302600,204.955948
"2021-07-26",209.839996,212.070007,209.5,211.029999,2157600,206.423172
"2021-07-27",207.529999,211.059998,207,209.899994,2472000,205.317841
"2021-07-28",210,212.690002,208.100006,211.440002,3246900,206.824219
"2021-07-29",214,214.509995,209.690002,212.559998,3419700,207.919769
"2021-07-30",207.899994,208.669998,203.149994,206.75,5834900,202.236603
"2021-08-02",208,210.899994,204.949997,205.160004,3977100,200.681335
"2021-08-03",205.309998,209.289993,203.429993,208.5,3580500,203.94841
"2021-08-04",208.220001,209.589996,204.369995,204.520004,2948700,200.055298
"2021-08-05",205.25,207.660004,204.699997,207.190002,2685800,202.667023
"2021-08-06",209.009995,210.389999,207.649994,208.350006,2677100,203.801682
"2021-08-09",207.289993,209.880005,206.119995,208.889999,2747200,204.329895
"2021-08-10",210,214.899994,208.960007,214.070007,4193600,209.396835
"2021-08-11",215.729996,222.570007,214.570007,221.660004,7794100,216.821106
"2021-08-12",222.240005,223.759995,218.470001,220.240005,4444500,215.432129
"2021-08-13",219.880005,220.550003,217.729996,218.570007,2049400,213.798584
"2021-08-16",217.360001,218,214.339996,217.710007,3132500,212.957367
"2021-08-17",216.220001,216.389999,210.580002,213.440002,4022800,208.780579
"2021-08-18",212.5,213.550003,209.720001,209.809998,2947700,205.229828
"2021-08-19",208.169998,208.960007,203.210007,204.449997,4788100,199.986816
"2021-08-20",205.419998,207.259995,203.589996,204.940002,2765500,200.466141
"2021-08-23",207.25,209.75,205.830002,209.139999,2827400,204.574432
"2021-08-24",209.75,213.270004,209.529999,212.589996,2485900,207.949127
"2021-08-25",213.169998,215.699997,212.149994,214.759995,2599800,210.071747
"2021-08-26",214.509995,214.509995,210.479996,211.240005,2513900,206.628601
"2021-08-27",212.259995,214.029999,212.220001,212.830002,2511400,208.183884
"2021-08-30",213.220001,213.740005,210.800003,211.449997,1922100,206.834015
"2021-08-31",211.279999,212.300003,210.419998,210.869995,2857900,206.266663
"2021-09-01",210.869995,210.990005,206.610001,207.960007,4122900,203.420212
"2021-09-02",208.919998,212.949997,208.919998,211.779999,2921600,207.156799
"2021-09-03",211.149994,212.800003,210,210.369995,2512000,205.777588
"2021-09-07",210.039993,210.339996,207.850006,208.229996,2641100,203.684296
"2021-09-08",207.119995,208.119995,204.770004,206.770004,2603100,202.25618
"2021-09-09",206.5,208.149994,204.899994,205.419998,2777900,200.935638
"2021-09-10",207.100006,207.880005,204.820007,205.009995,2551200,200.534592
"2021-09-13",207.160004,207.860001,203.929993,206.199997,2699100,201.698608
"2021-09-14",206.039993,206.100006,201.639999,202.330002,3757600,197.913101
"2021-09-15",202.169998,206.589996,201.869995,205.729996,3342700,201.238876
"2021-09-16",205.449997,206.389999,202.820007,203.600006,3120100,199.155396
"2021-09-17",202.630005,203.270004,199.449997,199.75,6351100,195.38942
"2021-09-20",193.059998,193.990005,188.479996,190.820007,9151100,186.654388
"2021-09-21",192,192.710007,186.979996,189.839996,5699900,185.695755
"2021-09-22",192,194.5,191.160004,191.350006,3924400,187.172806
"2021-09-23",192.910004,197.600006,192.850006,196.619995,3367800,192.327744
"2021-09-24",195.649994,197.789993,194.929993,196.820007,2199500,192.523392
"2021-09-27",197.600006,201.990005,197.600006,200,3033100,195.633972
"2021-09-28",200.199997,201.889999,198.75,200.550003,3247500,196.171967
"2021-09-29",200.479996,201.160004,197.699997,197.869995,2954700,193.550461
"2021-09-30",198.619995,198.869995,191.630005,191.970001,4978100,187.779266
"2021-10-01",192.899994,195.869995,191.240005,194.330002,3695500,190.087753
"2021-10-04",194.740005,195.910004,192.410004,193.130005,2864600,188.91394
"2021-10-05",192.759995,194.399994,190.729996,192.5,3074600,188.297699
"2021-10-06",190,192.389999,187.800003,191.860001,3777700,187.671677
"2021-10-07",193.729996,196.389999,193.610001,195.75,3510500,191.476746
"2021-10-08",195.800003,196.580002,194.740005,195.160004,2713200,190.899628
"2021-10-11",196.339996,197.169998,192.679993,192.889999,2015200,188.679184
"2021-10-12",192.320007,193.580002,189.580002,189.919998,4706700,185.774002
"2021-10-13",190.5,191.25,187.720001,188.940002,3253200,184.815414
"2021-10-14",193.550003,194.800003,192.610001,194.330002,5212900,190.087753
"2021-10-15",195.960007,199.449997,195.300003,199.020004,4736300,194.675385
"2021-10-18",197.380005,198.679993,195.550003,198.179993,2809400,193.853699
"2021-10-19",198.600006,201.479996,198.460007,201.139999,2626900,196.749084
"2021-10-20",201.160004,205.179993,200.529999,204.190002,2936000,199.732513
"2021-10-21",201.600006,202.300003,199.740005,202.139999,3071300,197.727249
"2021-10-22",200.639999,202.350006,199.199997,200.649994,2632400,197.353485
"2021-10-25",201.279999,203.309998,200.509995,202.210007,3294700,198.887878
"2021-10-26",202.75,202.789993,199.470001,199.639999,2933600,196.360092
"2021-10-27",200.25,200.429993,195.919998,196.130005,3406700,192.907761
"2021-10-28",197.360001,204.5,197.050003,204.089996,4462700,200.736984
"2021-10-29",207.990005,209.75,203.240005,204.009995,4292200,200.658279
"2021-11-01",204.289993,206.880005,203.809998,205.380005,3215200,202.005798
"2021-11-02",205.75,207.809998,203,207.119995,3429600,203.717194
"2021-11-03",206.259995,206.580002,201.820007,203.550003,3137000,200.205856
"2021-11-04",204,204.889999,202.610001,203.589996,2543500,200.245178
"2021-11-05",205.479996,208.880005,205.229996,205.880005,2591300,202.497574
"2021-11-08",215.889999,216.470001,211.25,214.25,5944700,210.730057
"2021-11-09",215.179993,215.570007,208.960007,209.809998,3310300,206.363007
"2021-11-10",209.270004,209.949997,206.429993,206.669998,3261800,203.274582
"2021-11-11",207.880005,210.440002,207.880005,208.529999,4819800,205.104034
"2021-11-12",209.350006,210.690002,208.300003,209.270004,2018000,205.831879
"2021-11-15",210,210.690002,206.759995,207.710007,2392600,204.297531
"2021-11-16",208,208.179993,205.259995,205.429993,2138000,202.054947
"2021-11-17",205,205.190002,200.850006,202.979996,3135700,199.645218
"2021-11-18",203.270004,203.710007,200.660004,201.419998,2119900,198.11084
"2021-11-19",200.919998,202.919998,199.660004,200.440002,2980100,197.146942
"2021-11-22",201.490005,204.529999,200.089996,202.380005,2596500,199.055084
"2021-11-23",203.050003,205.570007,201.589996,205.330002,3127100,201.956619
"2021-11-24",203.660004,208.259995,203.080002,207.070007,3880500,203.66803
"2021-11-26",201,201.449997,196.610001,198.729996,3496000,195.465042
"2021-11-29",201.229996,201.5,193.279999,195.919998,4559900,192.701202
"2021-11-30",193.839996,196.779999,191.550003,193.350006,6358000,190.173447
"2021-12-01",197.580002,198.429993,191.360001,191.470001,3425300,188.32431
"2021-12-02",192.309998,197.619995,191.809998,196.789993,3445700,193.5569
"2021-12-03",197.669998,199.389999,195.740005,197.800003,3250900,194.550323
"2021-12-06",199.580002,203.259995,198.339996,201.279999,2838400,197.973145
"2021-12-07",203.289993,206.210007,203.070007,204.490005,2818000,201.130432
"2021-12-08",204.410004,206.199997,203.610001,204.190002,2341200,200.835358
"2021-12-09",203.100006,204.970001,200.880005,204.130005,1646600,200.776337
"2021-12-10",205.399994,205.899994,202.110001,203.460007,3315200,200.117325
"2021-12-13",203.820007,204.25,200.449997,201.25,1868500,197.943634
"2021-12-14",200,203.979996,199.800003,201.639999,2248800,198.327225
"2021-12-15",201,202.600006,198.639999,202.550003,2193700,199.22229
"2021-12-16",205,208.229996,204.649994,206.169998,2856800,202.782822
"2021-12-17",204.949997,205.25,201.229996,201.369995,6079600,198.061661
