"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2021-08-16",67.839996,68.419998,67.5,67.779999,1500900,66.329582
"2021-08-17",67.199997,68.220001,67.110001,67.5,1167000,66.05558
"2021-08-18",67.220001,67.980003,66.639999,66.709999,2716500,65.282478
"2021-08-19",66.019997,66.959999,65.510002,65.93,1604500,64.519173
"2021-08-20",65.860001,66.519997,65.57,66.239998,2943900,64.82254
"2021-08-23",66.830002,67.43,66.510002,66.860001,1346300,65.429268
"2021-08-24",66.860001,67.349998,66.559998,67.18,996900,65.742432
"2021-08-25",67.25,68.18,66.870003,67.860001,893200,66.407875
"2021-08-26",67.889999,67.970001,67.029999,67.269997,1224900,65.83049
"2021-08-27",67.389999,68.339996,67.129997,68.18,1377000,66.721031
"2021-08-30",68.400002,68.5,66.989998,67.010002,1035400,65.576065
"2021-08-31",66.510002,67.529999,66.510002,67.220001,1813800,66.126961
"2021-09-01",67.480003,70.879997,66.779999,67.82,3617400,66.717201
"2021-09-02",67.989998,68.599998,67.75,68.470001,1846100,67.356636
"2021-09-03",68.419998,68.610001,67.809998,68.089996,2183700,66.982803
"2021-09-07",68.099998,68.699997,67.529999,67.559998,1356800,66.461426
"2021-09-08",67.339996,68.620003,67.07,68.589996,2185800,67.47467
"2021-09-09",69.330002,70.440002,68.559998,68.620003,4067700,67.504189
"2021-09-10",69.080002,69.449997,68.379997,68.940002,1854100,67.818993
"2021-09-13",69.709999,70.480003,69.239998,70.32,2048800,69.176552
"2021-09-14",70.260002,70.389999,69.360001,70.120003,2878900,68.979805
"2021-09-15",70.050003,70.860001,69.650002,70.419998,2650700,69.274925
"2021-09-16",70.349998,70.849998,69.739998,70.550003,2033400,69.402809
"2021-09-17",70.540001,71.309998,69.379997,69.559998,6444500,68.428902
"2021-09-20",68.25,68.949997,67.279999,68.489998,2681800,67.376305
"2021-09-21",68.800003,69.160004,67.779999,67.82,1613800,66.717201
"2021-09-22",68.790001,69.18,68.370003,68.93,2086500,67.809151
"2021-09-23",69.580002,70.309998,69.190002,69.379997,2181800,68.251831
"2021-09-24",69.550003,69.989998,69.290001,69.400002,1863100,68.271507
