"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2021-06-29",183.5,188.300003,183.5,187.029999,1049100,184.347702
"2021-06-30",186.789993,188,185.669998,186.059998,650400,183.391602
"2021-07-01",189.100006,189.309998,187.490005,187.850006,644700,185.155945
"2021-07-02",187.679993,188.389999,186.460007,187.770004,470700,185.077103
"2021-07-06",187.880005,188.440002,184,186.399994,827300,183.726715
"2021-07-07",186.399994,188.779999,185.860001,187.619995,841000,184.92923
"2021-07-08",185.860001,186.960007,183.259995,186.169998,915700,183.500015
"2021-07-09",187.699997,188.940002,186.059998,186.910004,841200,184.229416
"2021-07-12",186.559998,187.410004,184.460007,186.779999,939700,184.101273
"2021-07-13",186.729996,188.440002,185.669998,186.690002,829400,184.012573
"2021-07-14",187.600006,188.259995,186.059998,187.220001,1005600,184.534958
"2021-07-15",187,192.75,186.5,188.970001,1562200,186.259857
"2021-07-16",189.179993,191.690002,188.610001,189,1187000,186.289444
"2021-07-19",179.600006,182.610001,171.009995,180.940002,3291800,178.345047
"2021-07-20",181.960007,184.449997,178,183.639999,1554100,181.006317
"2021-07-21",182.520004,183.649994,179.789993,181.149994,1029200,178.552017
"2021-07-22",181.279999,183.690002,181.210007,182.419998,727900,179.803802
"2021-07-23",182.979996,187.860001,182.729996,187.699997,597800,185.008087
"2021-07-26",187.580002,188.919998,186.139999,188.070007,775800,185.372787
"2021-07-27",186.770004,187.990005,182.520004,184.360001,919700,181.715988
"2021-07-28",184.710007,185.330002,182.869995,183.490005,588700,180.858459
"2021-07-29",183.539993,183.679993,180.320007,180.979996,1230500,178.38446
"2021-07-30",180.199997,183.100006,179.240005,180.929993,1278000,178.335175
"2021-08-02",181.669998,182.550003,180.229996,180.809998,1058600,178.216888
"2021-08-03",182.619995,188.820007,181.690002,186.600006,1079400,183.923874
"2021-08-04",185.360001,186.160004,184.070007,185.429993,793300,182.77063
"2021-08-05",186.050003,188.399994,185.679993,188.070007,775900,185.372787
"2021-08-06",188.399994,189.570007,186.080002,187.270004,535200,184.584244
"2021-08-09",186.919998,188.330002,186.220001,187.580002,569200,184.889816
"2021-08-10",187.5,191.399994,187.229996,190.669998,582200,187.935486
"2021-08-11",190.630005,195.050003,190.539993,194.220001,784400,191.43457
"2021-08-12",194.110001,195.460007,192.75,193.529999,538000,190.754471
"2021-08-13",194.479996,194.889999,193.009995,193.919998,404900,191.13887
"2021-08-16",192.949997,196.860001,192.509995,196.770004,482200,193.948029
"2021-08-17",194.419998,194.5,189.839996,190.940002,489200,188.20163
"2021-08-18",191.259995,195.729996,191.259995,193.009995,546500,190.241928
"2021-08-19",191.259995,196.029999,191.050003,194.940002,558100,192.144257
"2021-08-20",195.020004,199.160004,194.050003,198.110001,583100,195.791061
"2021-08-23",198.600006,199,194.789993,195.009995,942600,192.727325
"2021-08-24",195.460007,196.289993,193.050003,193.529999,656600,191.264664
"2021-08-25",193.660004,194.740005,192.5,194.190002,684400,191.916946
"2021-08-26",194.539993,194.539993,188.529999,189.729996,833700,187.50914
"2021-08-27",189.649994,192.5,188.130005,192.399994,590000,190.147888
"2021-08-30",193.240005,195.440002,192.75,193.630005,476000,191.363495
"2021-08-31",194.149994,196.179993,192.029999,194.25,876600,191.976242
"2021-09-01",194.039993,196.210007,190.539993,195.570007,623100,193.280807
"2021-09-02",196.720001,197.149994,195.190002,195.600006,577200,193.310455
"2021-09-03",195.25,198.949997,194.490005,198.800003,465100,196.472992
"2021-09-07",198.699997,199.940002,197.059998,198.009995,797500,195.69223
"2021-09-08",198.25,199.75,197.300003,199.369995,802400,197.036301
"2021-09-09",200,202.360001,198.520004,201.679993,816100,199.31926
"2021-09-10",202.860001,207.539993,201.979996,204.850006,1049500,202.452164
"2021-09-13",205.369995,206.220001,200.389999,202.080002,1495100,199.714584
"2021-09-14",202.949997,205.899994,202.089996,205.259995,769800,202.857361
"2021-09-15",205.100006,205.729996,203.179993,205.070007,904500,202.669601
"2021-09-16",205,210.149994,204.389999,209.419998,756100,206.968658
"2021-09-17",208.279999,209.259995,206,207.160004,1194700,204.735123
"2021-09-20",204.699997,206.220001,203.210007,205.589996,948000,203.183487
"2021-09-21",207.110001,208.020004,204.520004,207.020004,498500,204.596771
"2021-09-22",208.389999,212.160004,206.660004,211.869995,678100,209.389999
"2021-09-23",213.229996,213.679993,209.279999,210.110001,720900,207.650589
"2021-09-24",210.160004,210.979996,208.110001,210.720001,411900,208.253464
"2021-09-27",210.75,212.789993,208.300003,210.309998,892300,207.848267
"2021-09-28",209.839996,209.839996,206.25,207.029999,793800,204.606644
"2021-09-29",208.660004,209.910004,207.149994,208.139999,652700,205.703659
"2021-09-30",206.949997,207.589996,201.830002,202.610001,859200,200.238388
"2021-10-01",204.080002,204.080002,199.360001,201.360001,923100,199.003006
"2021-10-04",197.070007,199.410004,192.899994,196,1396300,193.705765
"2021-10-05",196.039993,198.580002,195.889999,197.550003,740100,195.237625
"2021-10-06",196.240005,197.759995,195.119995,196.649994,803900,194.348129
"2021-10-07",196.399994,200.169998,196.289993,198,970900,195.682343
"2021-10-08",198.539993,199.399994,194.490005,194.720001,676100,192.440735
"2021-10-11",195.270004,196.830002,193.449997,193.529999,782000,191.264664
"2021-10-12",193.690002,195.240005,192.399994,193.289993,533400,191.027466
"2021-10-13",194.320007,195.860001,193.119995,194.940002,592500,192.658173
"2021-10-14",196.699997,198.979996,195.699997,197.289993,567100,194.980652
"2021-10-15",199.399994,200.369995,197.070007,197.270004,679900,194.960907
"2021-10-18",196.889999,205.210007,196.479996,204.5,1198500,202.106262
"2021-10-19",205.339996,205.899994,203.100006,203.529999,611300,201.147629
"2021-10-20",203.529999,205.360001,202.009995,202.300003,797100,199.932007
"2021-10-21",211.509995,212.880005,207.089996,210.419998,1499800,207.956955
"2021-10-22",212.5,214.259995,208.130005,208.210007,782000,205.772842
"2021-10-25",209.309998,213.669998,208.699997,211.029999,763200,208.55983
"2021-10-26",211.770004,212.119995,206.759995,206.820007,801500,204.399109
"2021-10-27",207.5,208.669998,205.910004,206.910004,614800,204.488052
"2021-10-28",207.119995,211.100006,206.880005,210.089996,692400,207.630814
"2021-10-29",209.649994,217.720001,209.649994,217.169998,1080500,214.62796
"2021-11-01",218.369995,218.729996,213.279999,213.830002,644200,211.327042
"2021-11-02",214.369995,216.520004,214.369995,215.639999,554100,213.11586
"2021-11-03",215.830002,217.130005,213.309998,215.770004,590400,213.244339
"2021-11-04",216.360001,219.589996,215.350006,218.070007,525600,215.517426
"2021-11-05",219.220001,220.460007,216.979996,220.050003,787500,217.474243
"2021-11-08",220.690002,221.669998,217.860001,221.399994,845000,218.808441
"2021-11-09",221.490005,224.830002,219.580002,220.860001,595400,218.274765
"2021-11-10",219.380005,220.889999,216.240005,217.259995,472600,214.716888
"2021-11-11",218.050003,219.410004,216.789993,218.630005,463100,216.070877
"2021-11-12",219.100006,221.529999,218.289993,221.160004,492000,218.571274
