"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2021-09-02",235.789993,237.770004,234.669998,236.970001,789600,232.297531
"2021-09-03",237.110001,241.350006,236.960007,238.570007,991800,233.865997
"2021-09-07",238.009995,238.240005,232.699997,233.850006,1109200,229.239059
"2021-09-08",233.070007,234.220001,231.449997,233.679993,763600,229.072403
"2021-09-09",234.25,235.5,232.309998,232.979996,783400,228.3862
"2021-09-10",234.149994,235.360001,231.710007,233.320007,739100,228.719498
"2021-09-13",235.789993,237.080002,233.419998,235.610001,756200,230.964355
"2021-09-14",236.970001,236.970001,230.789993,231.820007,784900,227.249084
"2021-09-15",231.589996,236.419998,231.5,234.440002,860900,229.817413
"2021-09-16",234.619995,235.600006,229.419998,229.710007,1081400,225.180679
"2021-09-17",227.869995,228.839996,226.339996,227.690002,1986600,223.2005
"2021-09-20",223.550003,224.770004,218.279999,221.470001,1693500,217.103149
"2021-09-21",221.839996,222.520004,217.5,219.539993,1031000,215.211197
"2021-09-22",221.899994,225.509995,221.369995,221.619995,869600,217.250198
"2021-09-23",223.720001,229.149994,222.759995,228.330002,1207500,223.827881
"2021-09-24",228,229.970001,227.5,227.660004,755400,223.171112
"2021-09-27",227.559998,233.080002,227.559998,230.25,802100,225.710022
"2021-09-28",230.25,232.300003,228.380005,229.460007,643200,224.935608
"2021-09-29",230.330002,232.039993,228.270004,230.669998,686600,226.12175
"2021-09-30",231.300003,232.320007,224.520004,224.559998,1094300,220.132217
"2021-10-01",225.320007,229.910004,223.75,227.960007,772700,223.465195
"2021-10-04",228.330002,229.199997,226.199997,227.520004,924800,223.033875
"2021-10-05",225.630005,236.210007,223.580002,234.669998,1586600,230.042877
"2021-10-06",231.860001,235.009995,228.110001,234.589996,1062400,229.964462
"2021-10-07",236.869995,238.479996,234.5,234.860001,908800,230.229141
"2021-10-08",234.429993,237.960007,233.520004,236,623700,231.346664
"2021-10-11",237.100006,237.759995,232.289993,232.440002,979000,227.856857
"2021-10-12",232.5,234.119995,229.520004,230.139999,865800,225.602203
"2021-10-13",231.070007,232.330002,227.240005,231.539993,731800,226.974594
"2021-10-14",232.589996,239.580002,231.570007,238.830002,815100,234.12085
