"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2021-03-30",70.970001,71.860001,70.010002,71.040001,1285700,69.879669
"2021-03-31",71.809998,72.330002,70.699997,70.760002,1981800,69.60424
"2021-04-01",71.739998,74.550003,71.349998,74.480003,1916400,73.263474
"2021-04-05",73.720001,73.760002,70.730003,70.760002,1637600,69.60424
"2021-04-06",71.199997,73.839996,71.199997,71.480003,1390900,70.312477
"2021-04-07",71.32,73.150002,71.209999,73.010002,1973800,71.81749
"2021-04-08",72.080002,73.660004,71.559998,73.43,2600100,72.230629
"2021-04-09",73.610001,74.669998,73.050003,73.800003,2433600,72.594582
"2021-04-12",74.580002,74.980003,72.93,72.949997,2436000,71.758461
"2021-04-13",72.699997,72.699997,70.410004,70.529999,2040300,69.377998
"2021-04-14",71.300003,74.099998,71.029999,72.309998,3151900,71.128922
"2021-04-15",72.169998,72.199997,70.279999,70.57,2123500,69.417343
"2021-04-16",70.970001,70.970001,69.150002,69.339996,2275500,68.207428
"2021-04-19",69.620003,70.690002,68.519997,69.400002,1523000,68.266449
"2021-04-20",69.389999,69.389999,66.360001,67.730003,3025800,66.623741
"2021-04-21",66.650002,68.349998,66.470001,68.019997,2890300,66.908989
"2021-04-22",68.220001,68.599998,66.440002,67.019997,1618200,65.925331
"2021-04-23",67.290001,67.779999,66.699997,67.290001,1771800,66.190918
"2021-04-26",67.400002,68.400002,67.059998,68.150002,1825400,67.036858
"2021-04-27",68.57,70.830002,68.559998,70.449997,1984400,69.299301
"2021-04-28",70.139999,76.949997,70,75.940002,4062600,74.699631
"2021-04-29",77,78.25,75.800003,76.739998,2071400,75.486565
"2021-04-30",75.5,77.379997,74.389999,74.510002,2152300,73.292984
"2021-05-03",75.709999,77.129997,75.339996,76.949997,2009300,75.69313
"2021-05-04",77.370003,78.370003,76.139999,77.160004,2086500,75.899689
"2021-05-05",78.349998,81.57,78.349998,80.949997,3228000,79.6278
"2021-05-06",80.989998,81.400002,77.449997,81.290001,3225200,79.962242
"2021-05-07",79.980003,82.739998,79.309998,82.529999,1838800,81.181984
"2021-05-10",83.5,84.269997,82.099998,82.559998,2153800,81.211494
"2021-05-11",80.879997,82.25,79.739998,81.150002,1692200,79.824532
"2021-05-12",81.739998,84.309998,80.879997,81.139999,1830500,79.81469
"2021-05-13",80,82.029999,78.82,79.459999,2120400,78.162132
"2021-05-14",80.739998,84.5,80.739998,84.330002,1958000,82.952591
"2021-05-17",83.699997,86.5,83.559998,86.419998,1976700,85.008446
"2021-05-18",86.32,86.940002,84.559998,84.790001,1462200,83.405083
"2021-05-19",82.879997,83.870003,81.080002,82.730003,2097800,81.378731
"2021-05-20",82.669998,82.690002,80.629997,81.959999,1983100,80.6213
"2021-05-21",82.989998,83.800003,81.870003,81.940002,1842800,80.601624
"2021-05-24",82.839996,84.32,81.68,84.190002,1595600,82.81488
"2021-05-25",83.839996,84.370003,82.150002,82.43,1515400,81.083626
"2021-05-26",82.480003,84.290001,81.739998,84,1323600,82.627975
"2021-05-27",84.339996,85.589996,83.769997,85.190002,2534700,83.798546
"2021-05-28",85.5,85.669998,83.68,83.82,1451300,82.45092
"2021-06-01",86.690002,88.209999,86.150002,87.769997,2428100,86.336403
"2021-06-02",88.279999,89.040001,87.099998,88.400002,1754300,86.956116
"2021-06-03",88,88.580002,87.279999,87.5,2062800,86.070801
"2021-06-04",88.610001,89,86.959999,88.919998,1276800,87.467613
"2021-06-07",88.629997,89.559998,88.32,89.050003,1132300,87.595505
"2021-06-08",88.160004,90.360001,86.860001,90.18,2195600,88.707039
"2021-06-09",89.360001,90.029999,88.510002,88.879997,1858700,87.428268
"2021-06-10",90.330002,90.970001,87.870003,89.029999,1102500,87.575821
"2021-06-11",89.599998,90.099998,89.080002,89.68,1167000,88.215202
"2021-06-14",89.830002,90.669998,87.599998,88.669998,1439000,87.465515
"2021-06-15",89.190002,90.769997,89.019997,90.660004,1164000,89.428505
"2021-06-16",89.949997,90.540001,87.879997,88.519997,2509400,87.317558
"2021-06-17",88.389999,88.860001,84.050003,85.629997,2287400,84.466827
"2021-06-18",83.860001,85.260002,82.93,84.349998,4348800,83.204208
"2021-06-21",85.410004,90.610001,84.790001,90.400002,2424600,89.172028
"2021-06-22",89.879997,90.160004,88.07,88.620003,2336100,87.416206
"2021-06-23",89.839996,91.089996,88.209999,88.290001,1438100,87.090691
"2021-06-24",88.300003,88.839996,87.410004,88.5,2082000,87.297836
"2021-06-25",89.199997,89.470001,87.660004,89.32,2562400,88.106697
"2021-06-28",88.730003,88.730003,85.389999,86.18,2018600,85.009346
"2021-06-29",87.459999,88.629997,86.129997,86.190002,1294600,85.019218
"2021-06-30",87,88.809998,86.82,87.32,1378100,86.133858
"2021-07-01",89.739998,90.32,88.220001,88.889999,1447300,87.682541
"2021-07-02",88.120003,88.639999,87.650002,88.169998,941400,86.972321
"2021-07-06",87.959999,87.959999,85.080002,85.18,2033400,84.022934
"2021-07-07",84.989998,85.720001,82.379997,83.339996,1755400,82.207924
"2021-07-08",81.809998,83.720001,81.379997,82.599998,1951200,81.477982
"2021-07-09",84.410004,84.440002,81.910004,84.010002,2307200,82.868828
"2021-07-12",82.839996,85.169998,82.330002,84.599998,1210300,83.450813
"2021-07-13",84.089996,84.830002,83.18,83.910004,1035100,82.770187
"2021-07-14",84.580002,85.709999,80.029999,80.389999,2166400,79.298004
"2021-07-15",79.199997,80.379997,77.980003,78.379997,2286600,77.3153
"2021-07-16",79.25,79.599998,76.080002,76.370003,2064500,75.332603
"2021-07-19",73.779999,74.879997,72.43,73.650002,2775400,72.649559
"2021-07-20",73.559998,75.360001,72.839996,74.239998,2650400,73.231544
"2021-07-21",76.330002,77.18,75.43,76.300003,1844000,75.263557
"2021-07-22",76.540001,76.559998,74.75,74.989998,1099400,73.971352
"2021-07-23",75.050003,75.160004,73.559998,74.370003,1349200,73.359779
"2021-07-26",74.57,75.900002,74.18,75.849998,1666900,74.819672
"2021-07-27",74.919998,75.120003,73.540001,74.059998,2139600,73.053978
"2021-07-28",74.389999,78.279999,73.849998,77.489998,2467100,76.437393
"2021-07-29",78.690002,79.160004,77.25,77.660004,1874000,76.60508
"2021-07-30",77.330002,77.620003,75.389999,76.440002,1606600,75.401657
"2021-08-02",76.790001,77.919998,73.709999,73.779999,2016300,72.777786
"2021-08-03",73.510002,75.099998,72.550003,74.980003,2303100,73.961487
"2021-08-04",73.389999,74.300003,71.57,71.870003,1914800,70.893745
"2021-08-05",72.650002,74.290001,72.129997,73.199997,1564600,72.205666
"2021-08-06",74.169998,74.470001,72.699997,73.139999,1566900,72.146492
"2021-08-09",71.779999,72.650002,71.379997,71.639999,1780300,70.666862
"2021-08-10",72.269997,72.650002,71.720001,72.610001,2314200,71.623688
"2021-08-11",71.900002,72.949997,71.07,72.779999,1878400,71.791367
"2021-08-12",72.900002,73.480003,71.419998,71.989998,1405300,71.012108
"2021-08-13",71.970001,71.970001,69.900002,69.940002,1689600,68.98996
"2021-08-16",68.699997,68.809998,67.370003,67.459999,2145900,66.54364
"2021-08-17",67,67.769997,66,66.400002,1837900,65.498039
