"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2021-09-30",53.029999,53.029999,52.040001,52.130001,3316800,51.141674
"2021-10-01",52.279999,53.290001,52.150002,52.939999,2284200,51.936317
"2021-10-04",52.950001,53.900002,52.560001,52.77,3071400,51.769543
"2021-10-05",52.98,53.630001,52.560001,53.43,2225400,52.417027
"2021-10-06",52.91,53.330002,52.41,53.32,2508600,52.309113
"2021-10-07",53.860001,54.389999,53.639999,54.16,2251100,53.13319
"2021-10-08",54.369999,54.900002,54.220001,54.52,2265000,53.486362
"2021-10-11",54.709999,55.400002,54.41,54.48,2564300,53.447121
"2021-10-12",54.48,54.75,54.200001,54.43,2822700,53.398071
"2021-10-13",54.349998,54.450001,53.189999,53.959999,2706500,52.936981
"2021-10-14",54.540001,55.389999,53.889999,55.349998,2750600,54.300629
"2021-10-15",55.810001,55.990002,55.470001,55.549999,7107800,54.496834
"2021-10-18",55.540001,55.68,54.880001,55.16,2669700,54.114231
"2021-10-19",55.77,55.990002,55.490002,55.790001,2069700,54.732285
"2021-10-20",55.810001,56.540001,55.709999,56.439999,2119700,55.369961
"2021-10-21",56.23,56.41,55.689999,56.119999,1985000,55.056026
"2021-10-22",56.389999,56.759998,55.970001,56.540001,1895800,55.468071
"2021-10-25",56.689999,57.099998,56.380001,56.98,2189400,55.899723
"2021-10-26",57.27,57.540001,57.009998,57.139999,2677600,56.05669
"2021-10-27",57,57.66,56,56,3443200,54.938301
"2021-10-28",55.82,56.630001,54.689999,55.360001,4788500,54.310436
"2021-10-29",55.240002,55.240002,53.48,53.669998,5018100,52.652477
"2021-11-01",53.959999,54.900002,53.75,54.869999,2405700,53.829727
"2021-11-02",54.900002,55.25,54.419998,55.119999,2743300,54.074986
"2021-11-03",54.849998,56.509998,54.77,56.060001,4279700,54.997169
"2021-11-04",55.880001,55.990002,54.709999,55.700001,2684000,54.64399
"2021-11-05",56.34,57.290001,56.080002,56.75,3228300,55.674084
"2021-11-08",56.990002,57.279999,56.599998,56.75,1948000,55.674084
"2021-11-09",56.439999,56.610001,56,56.279999,1719100,55.212994
"2021-11-10",56.41,56.720001,55.799999,56.02,2497800,54.957928
"2021-11-11",56,56.48,55.709999,56.330002,3276600,55.262051
"2021-11-12",56.349998,57.080002,56.189999,57.009998,2439300,55.929153
"2021-11-15",57.240002,57.759998,56.970001,57.57,3433600,56.478539
"2021-11-16",57.669998,57.950001,57.200001,57.259998,3321200,56.498272
"2021-11-17",57,57.290001,56.880001,56.919998,2959000,56.162796
"2021-11-18",56.82,56.860001,55.560001,55.900002,2793700,55.156368
"2021-11-19",55.5,55.919998,54.73,55.439999,2646400,54.702484
"2021-11-22",55.759998,56.580002,55.450001,55.860001,3338000,55.116901
"2021-11-23",55.970001,56.93,55.759998,56.799999,2950000,56.044392
"2021-11-24",56.68,57.16,56.27,57.009998,3064800,56.251598
"2021-11-26",55.650002,55.959999,54.630001,55.57,3429700,54.830753
"2021-11-29",56.049999,56.240002,55.27,55.700001,2724400,54.959026
"2021-11-30",55.040001,55.169998,54,54.139999,6793900,53.419777
"2021-12-01",55.25,55.91,53.66,53.669998,3241100,52.956032
"2021-12-02",54,55.73,53.75,55.25,2960600,54.515015
"2021-12-03",54.689999,55.169998,53.849998,54.279999,3672000,53.557919
"2021-12-06",55.09,56.400002,54.630001,55.720001,3209000,54.97876
"2021-12-07",56.080002,57.049999,55.810001,56.709999,2816300,55.955589
"2021-12-08",56.810001,57.18,56.41,56.73,2309400,55.975323
"2021-12-09",56.330002,57.529999,56.220001,57.369999,2647300,56.606808
"2021-12-10",57.799999,58.040001,57.439999,57.84,2994500,57.07056
"2021-12-13",57.720001,57.799999,56.950001,57.02,3482200,56.261467
"2021-12-14",56.139999,57.560001,56.009998,57.16,4002400,56.399605
"2021-12-15",57.41,57.470001,56.669998,57.349998,3744300,56.587074
"2021-12-16",57.849998,58.52,57.560001,57.900002,2991800,57.129761
"2021-12-17",57.799999,57.799999,56.650002,56.84,5989200,56.083862
"2021-12-20",56.009998,56.09,54.650002,55.360001,3199200,54.62355
"2021-12-21",56.029999,57.369999,55.970001,56.84,3328500,56.083862
"2021-12-22",56.709999,57.389999,56.599998,57.18,1660800,56.419342
"2021-12-23",57.580002,58.110001,57.580002,57.689999,2326600,56.922554
"2021-12-27",57.779999,58.209999,57.509998,58.200001,1670300,57.42577
"2021-12-28",58.119999,58.73,58.02,58.490002,1735600,57.711914
"2021-12-29",58.619999,58.889999,58.23,58.790001,1577400,58.007923
"2021-12-30",58.849998,59.220001,58.52,58.560001,1677900,57.780979
"2021-12-31",58.48,58.799999,58.259998,58.389999,2045500,57.613243
"2022-01-03",58.630001,59.02,58.09,58.27,3231000,57.494839
"2022-01-04",58.860001,60.360001,58.400002,60.18,4813000,59.379429
"2022-01-05",60.360001,61.41,59.990002,60.080002,4121300,59.280762
"2022-01-06",60.740002,61.25,60.130001,61.189999,3607700,60.375992
"2022-01-07",61.369999,62.380001,60.959999,62.16,3728000,61.333088
