"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2021-06-02",71.18,71.510002,71.019997,71.290001,3920400,70.370712
"2021-06-03",71,71.160004,70.540001,70.800003,9907400,69.887039
"2021-06-04",71.120003,71.610001,70.970001,71.5,3429600,70.578011
"2021-06-07",71.669998,71.769997,71.010002,71.300003,3892300,70.380585
"2021-06-08",71.230003,71.830002,71.139999,71.440002,2713500,70.518784
"2021-06-09",71.980003,71.980003,71.160004,71.25,2507200,70.33123
"2021-06-10",71.32,71.660004,70.879997,71.169998,3182600,70.252258
"2021-06-11",71.559998,71.559998,70.910004,71.25,4056700,70.33123
"2021-06-14",71.150002,71.290001,70.059998,70.790001,6417200,69.877167
"2021-06-15",70.809998,71.519997,70.279999,70.349998,2975400,69.442841
"2021-06-16",70.480003,70.830002,69.68,70.010002,3610800,69.107224
"2021-06-17",69.690002,69.870003,68.889999,69.169998,2890900,68.278053
"2021-06-18",68.650002,68.809998,68.209999,68.32,5596700,67.439018
"2021-06-21",68.690002,69.839996,68.68,69.620003,3633300,68.722252
"2021-06-22",69.370003,69.690002,69.110001,69.529999,3481300,68.633415
"2021-06-23",69.400002,69.769997,69.07,69.110001,3005600,68.218826
"2021-06-24",69.620003,69.959999,69.269997,69.82,2612600,68.919662
"2021-06-25",69.830002,70.599998,69.610001,70.489998,3585500,69.581032
"2021-06-28",70.459999,70.669998,69.910004,70.150002,2744400,69.245422
"2021-06-29",70.739998,71.129997,70.360001,70.419998,2740800,69.511932
"2021-06-30",69.769997,70.080002,68.610001,69.260002,3719600,68.366898
"2021-07-01",69.610001,69.989998,68.940002,69.839996,2689100,68.939415
"2021-07-02",70.199997,70.290001,69.540001,69.610001,2083900,68.712387
"2021-07-06",69.510002,69.57,68.379997,68.730003,2396000,67.843719
"2021-07-07",68.809998,69.349998,68.690002,68.93,2402200,68.041145
"2021-07-08",68.330002,68.610001,67.370003,68.370003,2534000,67.48838
"2021-07-09",68.610001,69.25,68.5,69.139999,3290000,68.248444
"2021-07-12",68.980003,69.279999,68.309998,69.25,3433900,68.357025
"2021-07-13",69.110001,69.160004,68.339996,68.699997,2566700,67.81411
"2021-07-14",69.599998,69.970001,68.879997,69.230003,2750500,68.337288
"2021-07-15",69,69.239998,68.650002,68.830002,2878600,67.942436
"2021-07-16",69.040001,69.230003,68.169998,68.239998,2018000,67.360039
"2021-07-19",67.720001,67.870003,66.190002,66.459999,3218100,65.602997
"2021-07-20",66.68,68.019997,66.68,67.610001,3008500,66.738167
"2021-07-21",67.669998,68,67.269997,67.75,2724800,66.876358
"2021-07-22",68.199997,68.220001,67.440002,68.110001,5149000,67.23172
"2021-07-23",68.470001,69.519997,68.459999,69.290001,2597600,68.396515
"2021-07-26",69.169998,69.760002,68.93,69.43,2935300,68.534698
"2021-07-27",69.32,70.059998,68.540001,69.129997,3596500,68.238571
"2021-07-28",69.279999,70.139999,68.940002,69.790001,3806300,68.890053
"2021-07-29",74.970001,75.980003,73.769997,73.919998,7392200,72.966805
"2021-07-30",73.400002,74.480003,73.349998,73.529999,3393500,72.581833
