"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2021-09-07",415.709991,415.709991,410.529999,413.709991,549000,410.918396
"2021-09-08",415.049988,422.369995,412.540009,413.5,1004000,410.709869
"2021-09-09",414.26001,420.059998,413.100006,417.119995,608900,414.30542
"2021-09-10",419.200012,419.200012,399.579987,401.980011,1276100,399.267609
"2021-09-13",404.369995,413.589996,402.880005,409.049988,908000,406.289886
"2021-09-14",411.429993,411.429993,401.589996,401.98999,742300,399.277496
"2021-09-15",404.170013,406.940002,400.089996,401,1206600,398.294189
"2021-09-16",401.769989,404.179993,397.559998,399.170013,1090400,396.476563
"2021-09-17",397.25,408.820007,397.25,407.790009,1363600,405.038361
"2021-09-20",404.850006,407.019989,400.570007,404.109985,656500,401.383209
"2021-09-21",405.089996,408.380005,400.709991,400.75,455200,398.045868
"2021-09-22",398.880005,402.899994,396.079987,400.350006,592800,397.64859
"2021-09-23",401.410004,407.970001,400.470001,401.450012,612400,398.74115
"2021-09-24",400.829987,403.850006,398.429993,398.910004,550800,396.218292
"2021-09-27",400.709991,404.980011,399.25,401,432600,398.294189
"2021-09-28",398.470001,400.01001,392.940002,395,569100,392.334656
"2021-09-29",395,398.690002,392.350006,395.350006,513500,393.379456
"2021-09-30",397.51001,398.98999,389,389.149994,836000,387.210358
"2021-10-01",391.140015,392.980011,383.089996,391.549988,614600,389.598389
"2021-10-04",391.950012,393.410004,383.130005,384.959991,622700,383.041229
"2021-10-05",384.570007,393.25,384.519989,388.309998,624300,386.374542
"2021-10-06",385.23999,393.029999,381.859985,392.5,760500,390.54364
"2021-10-07",395.140015,404.910004,394.670013,403.859985,753200,401.847015
"2021-10-08",405.410004,412.790009,402.73999,412.76001,943000,410.702667
"2021-10-11",412.48999,416.899994,409.070007,414.869995,893800,412.802124
"2021-10-12",416,422.029999,414.059998,420.420013,1112200,418.324493
"2021-10-13",420.859985,421.869995,414.880005,420.690002,1039300,418.59314
"2021-10-14",433,444,430.329987,434.980011,1696200,432.81192
"2021-10-15",436.730011,444.570007,435,441,1833000,438.801941
"2021-10-18",441.519989,441.899994,434.820007,438.549988,796100,436.364105
"2021-10-19",440.769989,442.790009,436.880005,441.5,657400,439.299408
"2021-10-20",444.329987,457.100006,444.329987,454.480011,1063300,452.214722
"2021-10-21",453.339996,461.450012,452.309998,460.809998,507700,458.513153
"2021-10-22",459.480011,465.019989,459.170013,461.850006,423900,459.548004
"2021-10-25",463.059998,465.350006,459.390015,463.420013,583800,461.110168
"2021-10-26",464.529999,469.730011,462.720001,467.100006,602000,464.77182
"2021-10-27",468.410004,468.410004,457.549988,458.640015,699900,456.354004
"2021-10-28",461.190002,469.119995,461,467.600006,805500,465.269348
"2021-10-29",465.329987,467.73999,460.859985,463.160004,1079600,460.851471
"2021-11-01",465.320007,467,456.540009,459.51001,924400,457.219666
"2021-11-02",461.309998,462.519989,454.609985,457.109985,740300,454.831635
"2021-11-03",436.5,468.98999,436.5,459.450012,1516900,457.159973
"2021-11-04",457.049988,458.880005,449.910004,453.549988,993200,451.289337
"2021-11-05",454.630005,464.709991,452.660004,453.429993,725100,451.169952
"2021-11-08",454.920013,457.429993,448.160004,454.5,713800,452.234619
"2021-11-09",454.690002,455.450012,447.609985,450.399994,611800,448.15506
"2021-11-10",451.01001,454.940002,445.98999,448.51001,457400,446.274506
"2021-11-11",448.049988,448.700012,439.619995,446.5,463100,444.274506
"2021-11-12",447.880005,448.609985,443.309998,445.420013,497300,443.19989
"2021-11-15",445.48999,445.48999,437.519989,438.190002,610400,436.005951
"2021-11-16",440.309998,451.850006,437.01001,444.130005,720600,441.916321
"2021-11-17",444,445,438.01001,438.399994,609500,436.214844
"2021-11-18",439.059998,446.100006,437.230011,445.970001,774500,443.747162
"2021-11-19",447.920013,447.920013,433.519989,434.869995,675900,432.702484
"2021-11-22",436.390015,438.049988,430.290009,432.390015,443200,430.234833
"2021-11-23",431.950012,437.929993,431.25,437.230011,452900,435.05069
"2021-11-24",436.51001,438.380005,433.369995,436.190002,476600,434.015869
"2021-11-26",430.5,432.070007,422,428.48999,651000,426.354218
"2021-11-29",431.51001,431.75,423.630005,428.070007,463200,425.936371
"2021-11-30",424.98999,427,416.119995,419.709991,1184600,417.618011
"2021-12-01",423.179993,429.01001,417.380005,417.619995,664800,415.538452
"2021-12-02",417.619995,424.209991,412.630005,421.440002,790100,419.339386
"2021-12-03",423.369995,427.26001,417.890015,421.700012,545800,419.598114
"2021-12-06",426.309998,436.76001,424,432.5,680900,430.344269
"2021-12-07",434.890015,436.519989,431.899994,433.01001,468200,430.851746
"2021-12-08",433.570007,440.140015,429.48999,440,898400,437.806885
"2021-12-09",439.070007,452.529999,433.309998,452.279999,1120300,450.025665
"2021-12-10",451.880005,462.880005,448.399994,461.190002,905600,458.891296
"2021-12-13",460.98999,466.890015,454.950012,464.369995,709600,462.05542
"2021-12-14",461.690002,467.480011,459.76001,461.859985,985400,459.557922
"2021-12-15",463.570007,464.970001,454.730011,461.799988,767300,459.49823
"2021-12-16",457.149994,462.200012,451.730011,457.470001,1005800,455.189819
"2021-12-17",459.109985,460.880005,451.850006,453.329987,1329500,451.070465
"2021-12-20",449.649994,454.890015,445.799988,451.100006,878700,448.851593
"2021-12-21",451.480011,453.549988,446.579987,450.140015,508000,447.896362
