"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2021-04-23",1482,1485.050049,1461,1468.530029,374000,1468.530029
"2021-04-26",1468.26001,1475.5,1453.48999,1470.790039,335600,1470.790039
"2021-04-27",1479.26001,1494.609985,1465.540039,1468.869995,228400,1468.869995
"2021-04-28",1477.75,1481.900024,1459.920044,1476.160034,211400,1476.160034
"2021-04-29",1470.949951,1489.709961,1459.109985,1484.109985,217900,1484.109985
"2021-04-30",1480,1501.650024,1479,1492.030029,263000,1492.030029
"2021-05-03",1500,1500,1470,1471.040039,212500,1471.040039
"2021-05-04",1466,1466,1432.300049,1450,249600,1450
"2021-05-05",1459.290039,1461.189941,1420.469971,1426.5,195500,1426.5
"2021-05-06",1425.689941,1427.829956,1392.209961,1411.410034,287300,1411.410034
"2021-05-07",1422.97998,1440.890015,1420.939941,1426.050049,188200,1426.050049
"2021-05-10",1405,1410,1390.319946,1391.839966,235700,1391.839966
"2021-05-11",1374.51001,1401,1360.01001,1393.25,353400,1393.25
"2021-05-12",1380.300049,1384.959961,1338.01001,1342.02002,285900,1342.02002
"2021-05-13",1350.329956,1357.949951,1320,1322.699951,246100,1322.699951
"2021-05-14",1333.880005,1364.01001,1330.180054,1356.209961,211600,1356.209961
"2021-05-17",1348,1354,1321.550049,1331.579956,228200,1331.579956
"2021-05-18",1340,1347.400024,1314,1324.51001,247200,1324.51001
"2021-05-19",1309,1316.930054,1295.099976,1307.189941,275100,1307.189941
"2021-05-20",1338.130005,1353.180054,1336,1341.780029,366400,1341.780029
"2021-05-21",1348.310059,1355.400024,1327.790039,1330,243200,1330
"2021-05-24",1339,1358.069946,1333.819946,1342.359985,244500,1342.359985
"2021-05-25",1351.380005,1356.420044,1334.390015,1346.130005,233400,1346.130005
"2021-05-26",1355.630005,1372.959961,1342.780029,1345.810059,290000,1345.810059
"2021-05-27",1353.880005,1374.280029,1344.719971,1365.599976,307100,1365.599976
"2021-05-28",1366,1381.930054,1357.329956,1371.97998,254100,1371.97998
"2021-06-01",1372,1378.689941,1342.180054,1361.130005,349800,1361.130005
"2021-06-02",1354.099976,1364.619995,1352.47998,1362.390015,371600,1362.390015
"2021-06-03",1356.22998,1362.650024,1330.660034,1333.040039,297200,1333.040039
"2021-06-04",1338.670044,1351.369995,1323.969971,1326.339966,283800,1326.339966
"2021-06-07",1324,1338.439941,1320.829956,1323.26001,200100,1323.26001
"2021-06-08",1336.150024,1352.800049,1328.800049,1336.640015,404300,1336.640015
"2021-06-09",1344.180054,1344.5,1326.709961,1328.569946,192400,1328.569946
"2021-06-10",1336.170044,1344.699951,1322.670044,1344.689941,203800,1344.689941
"2021-06-11",1345,1367.910034,1344.560059,1366.800049,287600,1366.800049
