"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2021-09-20",19.379999,19.4,18.52,18.91,6853600,18.67384
"2021-09-21",19.27,19.35,18.549999,18.77,6147400,18.535591
"2021-09-22",19.16,20.51,19.16,20.120001,16377700,19.868731
"2021-09-23",20.17,21.68,19.940001,21.540001,14040800,21.270996
"2021-09-24",21.370001,22.17,21.15,21.91,9071100,21.636374
"2021-09-27",22.709999,23.35,22.66,23.26,17101300,22.969517
"2021-09-28",23.58,23.780001,21.610001,21.690001,18722200,21.419123
"2021-09-29",21.33,21.620001,20.790001,21.27,10904300,21.00437
"2021-09-30",20.76,21.74,20.530001,21.43,11279100,21.162369
"2021-10-01",21.75,22.219999,21.34,21.799999,10977100,21.527748
"2021-10-04",22.33,22.67,21.860001,22.059999,13521800,21.784502
"2021-10-05",22.58,23.129999,21.92,22.209999,13250900,21.932627
"2021-10-06",21.57,22.299999,21.450001,22.1,9744800,21.824001
"2021-10-07",22.299999,23.139999,21.969999,22.799999,16379600,22.515259
"2021-10-08",23.25,24.48,23.17,24.360001,19303000,24.05578
"2021-10-11",25.1,25.33,24.33,24.42,13742200,24.115028
"2021-10-12",24.379999,25.1,24.15,24.74,10049400,24.431032
"2021-10-13",24.25,24.98,23.799999,24.610001,9086600,24.302658
"2021-10-14",25.33,26.27,25.040001,26.219999,11682200,25.89255
"2021-10-15",26.66,27.02,26.299999,26.370001,11901800,26.040678
"2021-10-18",26.799999,28.18,26.67,26.93,12258800,26.593683
"2021-10-19",27.280001,27.57,26.709999,26.860001,8642800,26.524555
"2021-10-20",26.42,27.57,26.26,27.450001,8128000,27.107189
"2021-10-21",27.34,27.6,26.65,27.01,8001600,26.734041
"2021-10-22",27.200001,27.85,27.08,27.68,10649400,27.397196
"2021-10-25",28.280001,28.780001,27.92,28.219999,9091200,27.931679
"2021-10-26",28.68,28.68,28.02,28.15,8633700,27.862392
"2021-10-27",27.5,28.120001,26.74,26.9,11507100,26.625166
"2021-10-28",26.85,27.18,26.440001,27.08,10173000,26.803328
"2021-10-29",27.059999,27.07,25.91,26.209999,7372000,25.942213
"2021-11-01",26.93,27.33,26.51,27.17,7418100,26.892406
"2021-11-02",26.889999,27.49,26.700001,27.290001,6715400,27.011179
"2021-11-03",27,28.030001,26.91,27.629999,9250600,27.347706
"2021-11-04",28.35,29.969999,28.120001,29.08,17673100,28.782892
"2021-11-05",30.139999,30.34,29.1,29.9,12499800,29.594511
"2021-11-08",30.33,31.139999,30.120001,30.66,8323000,30.346748
"2021-11-09",30.6,30.950001,29.610001,30.01,13452500,29.70339
"2021-11-10",29.860001,30.17,28.43,28.73,8288500,28.436466
"2021-11-11",28.92,29.91,28.889999,29.41,6266500,29.109522
"2021-11-12",29.15,29.68,28.93,29.450001,6988700,29.149113
"2021-11-15",29.120001,29.93,29.08,29.610001,6317000,29.307476
"2021-11-16",29.83,30.34,29.5,29.620001,9441000,29.317373
"2021-11-17",29.469999,29.540001,27.59,27.66,9608100,27.377399
"2021-11-18",27.58,28.34,26.940001,27.58,10884400,27.298216
"2021-11-19",26.6,27.01,25.65,26,12427500,25.73436
"2021-11-22",26.059999,27.360001,25.92,26.530001,11652900,26.258945
"2021-11-23",27.18,28.5,27.07,28.469999,10602000,28.179123
"2021-11-24",27.969999,29.209999,27.969999,28.610001,8531600,28.317694
"2021-11-26",26.35,26.549999,25.07,26.24,8469000,25.971907
"2021-11-29",27.43,27.68,26.35,26.83,9203200,26.55588
"2021-11-30",25.25,26.51,25.030001,25.77,12519300,25.50671
"2021-12-01",26.860001,27.17,25.200001,25.25,11199800,24.992022
"2021-12-02",25.209999,26.34,24.77,26.18,11459600,25.912521
"2021-12-03",26.709999,26.969999,25.280001,25.58,14816300,25.318651
"2021-12-06",26.379999,26.48,25.33,25.85,8350700,25.585892
"2021-12-07",26.42,27.459999,26.299999,26.889999,7865500,26.615265
"2021-12-08",26.889999,27.200001,26.610001,26.629999,7695300,26.357922
"2021-12-09",26.23,26.49,25.950001,26.030001,10568200,25.764053
"2021-12-10",26.530001,26.809999,25.799999,26.67,8941500,26.397514
"2021-12-13",26.34,26.58,25.16,25.280001,10501600,25.021717
"2021-12-14",24.790001,25.709999,24.65,24.950001,7080100,24.695087
"2021-12-15",24.860001,25.23,23.67,25.1,7724600,24.843555
"2021-12-16",25.549999,25.84,24.559999,24.790001,8682200,24.536722
"2021-12-17",24.309999,24.93,23.940001,24.379999,16747400,24.130911
"2021-12-20",23.4,23.98,22.940001,23.940001,7124000,23.695406
"2021-12-21",24.51,25.4,24.49,25.34,5777100,25.081104
"2021-12-22",24.940001,26.200001,24.879999,25.83,10304800,25.566097
"2021-12-23",25.9,26.43,25.879999,26.07,4694400,25.803646
"2021-12-27",25.940001,28.01,25.51,27.969999,8832300,27.684233
"2021-12-28",28.280001,28.629999,27.73,27.93,6778600,27.64464
"2021-12-29",27.889999,28.51,27.6,27.91,7091300,27.624846
"2021-12-30",27.91,28.200001,27.01,27.059999,5387900,26.783529
"2021-12-31",26.879999,27.190001,26.530001,26.889999,5037100,26.615265
"2022-01-03",27.08,28.139999,26.98,28.059999,9319700,27.773314
"2022-01-04",28.700001,29.940001,28.6,29.459999,13218200,29.159008
"2022-01-05",30,30.09,28.370001,28.4,9212700,28.10984
