"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2021-06-30",467.5,472.089996,465.679993,470.200012,473900,467.105804
"2021-07-01",470.429993,471.309998,468.450012,470.440002,477100,467.344269
"2021-07-02",470.299988,473.959991,470.299988,472.600006,327600,469.490051
"2021-07-06",471.76001,475.649994,469.130005,474.160004,332800,471.039795
"2021-07-07",474.75,483.5,474.75,481.820007,408900,479.218414
"2021-07-08",477.519989,477.670013,472.350006,475.23999,402300,472.673889
"2021-07-09",477.23999,481.380005,476.149994,481.179993,386800,478.581848
"2021-07-12",483.5,483.5,480.640015,482.339996,261800,479.735596
"2021-07-13",481.619995,483.149994,480.809998,481.720001,311600,479.118927
"2021-07-14",481.640015,488.01001,480.829987,486.470001,289600,483.843292
"2021-07-15",485,488.309998,483.48999,486.600006,392500,483.972595
"2021-07-16",486.660004,491.049988,484.869995,485.980011,342600,483.355927
"2021-07-19",481.970001,484.170013,477.809998,481.720001,408300,479.118927
"2021-07-20",483.339996,493.179993,483.339996,491.559998,475000,488.905792
"2021-07-21",492.619995,494.869995,490.579987,493.790009,446300,491.123749
"2021-07-22",494.929993,497.109985,490.619995,491.600006,587500,488.945587
"2021-07-23",495.910004,499.209991,490.200012,496.630005,521000,493.948456
"2021-07-26",495.940002,497.440002,486.529999,489.779999,492900,487.135406
"2021-07-27",489.549988,493.350006,485.269989,493.320007,620300,490.656311
"2021-07-28",493.399994,494.880005,485.869995,488.359985,377700,485.723083
"2021-07-29",491,493.109985,488.720001,491.850006,479200,489.194214
"2021-07-30",490.829987,492.429993,489.079987,491.339996,407900,488.686981
"2021-08-02",494.190002,494.190002,487.630005,488.350006,321200,485.713135
"2021-08-03",489.190002,493.26001,486.420013,492.290009,345300,489.631866
"2021-08-04",492.269989,495.929993,488.130005,490.109985,287400,487.463623
"2021-08-05",492.200012,493.269989,486.399994,489.820007,365000,487.175171
"2021-08-06",490.399994,492.149994,487.01001,487.959991,307000,485.325226
