"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"2021-07-14",56.75,57.34,56.580002,57.209999,901300,56.477085
"2021-07-15",57.07,57.540001,56.84,57.110001,692600,56.378372
"2021-07-16",57.209999,57.209999,55.959999,55.990002,512900,55.272724
"2021-07-19",55.490002,55.669998,54.639999,55.029999,974300,54.325016
"2021-07-20",55.16,55.790001,54.48,54.490002,1344400,53.791939
"2021-07-21",54.950001,55.16,54.41,54.540001,1093800,53.841293
"2021-07-22",54.529999,54.630001,53.91,54.540001,875300,53.841293
"2021-07-23",54.810001,55.119999,53.869999,54.939999,895900,54.236172
"2021-07-26",55.009998,55.52,54.84,55.490002,670800,54.779125
"2021-07-27",55.119999,55.619999,54.57,55.580002,819200,54.86797
"2021-07-28",55.560001,55.880001,55.150002,55.669998,757300,54.956814
"2021-07-29",56.009998,56.419998,55.639999,56.130001,786300,55.410923
"2021-07-30",56.290001,56.939999,56.080002,56.75,1286300,56.022984
"2021-08-02",56.880001,57.439999,56.25,56.310001,1248600,55.588623
"2021-08-03",55.68,58.610001,55.32,58.470001,1342000,57.720947
"2021-08-04",58.5,59.099998,57.290001,57.98,1349400,57.237228
"2021-08-05",58.5,58.84,57.610001,58.110001,1214000,57.365562
"2021-08-06",58.209999,58.799999,58.16,58.709999,966900,57.957874
"2021-08-09",58.740002,59.189999,58.240002,59.119999,874000,58.362621
"2021-08-10",59.049999,60.209999,59.049999,60.09,769200,59.320198
"2021-08-11",60.259998,60.689999,60,60.650002,778200,59.873024
"2021-08-12",60.709999,60.75,59.73,60.32,551100,59.547249
"2021-08-13",60.220001,60.740002,60.099998,60.419998,670100,59.645962
"2021-08-16",60.41,60.599998,59.330002,60.459999,536100,59.685452
"2021-08-17",60.41,60.459999,59.32,59.650002,486200,58.885834
"2021-08-18",59.490002,59.799999,59.200001,59.25,444600,58.490955
"2021-08-19",58.77,59.369999,58.5,59.09,656100,58.333004
"2021-08-20",59.09,59.639999,58.93,59.360001,550800,58.599541
"2021-08-23",59.959999,60.150002,59.59,59.650002,719300,58.885834
"2021-08-24",59.98,60.150002,59.52,60.040001,1008800,59.270836
"2021-08-25",59.93,61.25,59.599998,61.169998,543600,60.386356
"2021-08-26",61.240002,61.27,60.639999,60.669998,403000,59.892761
"2021-08-27",60.709999,61.369999,60.650002,61.07,574000,60.28764
"2021-08-30",61.25,61.630001,60.75,61.110001,520100,60.327126
"2021-08-31",61.169998,61.66,60.650002,61.029999,1226200,60.248154
"2021-09-01",60.91,62.040001,60.91,61.549999,888800,60.76149
"2021-09-02",61.650002,61.799999,61.18,61.720001,427300,61.127945
"2021-09-03",61.720001,61.720001,61.200001,61.220001,498800,60.63274
"2021-09-07",60.970001,61,59.669998,59.75,583100,59.176838
"2021-09-08",59.450001,59.810001,59.200001,59.52,577600,58.949047
"2021-09-09",59.470001,59.630001,58.119999,58.189999,760700,57.631802
"2021-09-10",58.400002,58.720001,57.990002,58.080002,709000,57.522861
"2021-09-13",58.439999,58.599998,57.540001,57.82,514700,57.265354
