"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2021-11-10",72.209999,73.239998,71.650002,72.029999,1190200,70.410042
"2021-11-11",71.889999,73.870003,71.800003,73.290001,1304900,71.641708
"2021-11-12",73.120003,74.160004,72.599998,73.709999,1267000,72.052261
"2021-11-15",74.269997,75.059998,74.080002,74.599998,1603800,72.922249
"2021-11-16",74.800003,74.910004,73.540001,73.580002,1243700,71.925186
"2021-11-17",73.089996,73.43,71.589996,72.080002,1961300,70.458916
"2021-11-18",71.940002,72.650002,70.360001,71.410004,1203800,69.803993
"2021-11-19",70,70.010002,68.849998,69.550003,1890500,67.985817
"2021-11-22",70.440002,71.440002,69.800003,70.449997,1798400,68.865578
"2021-11-23",71.190002,72.18,70.940002,71.599998,1608600,69.989716
"2021-11-24",71.080002,71.800003,70.449997,71.32,1073600,69.716011
"2021-11-26",67.449997,68.830002,65.120003,68.150002,2261500,66.617302
"2021-11-29",69.360001,69.559998,67.300003,68.339996,1591000,66.803032
"2021-11-30",67.029999,67.870003,65.639999,66.330002,3543900,64.838242
"2021-12-01",68.440002,68.599998,63.57,63.610001,1901900,62.179409
"2021-12-02",64.129997,67.099998,63.959999,66.309998,2417800,64.818687
"2021-12-03",66.839996,67.620003,64.830002,65.550003,1774000,64.075783
"2021-12-06",66.790001,67.709999,66.07,66.349998,1285800,64.857788
"2021-12-07",66.93,68.660004,66.720001,67.5,1140900,65.981926
"2021-12-08",67.690002,68.720001,67.599998,67.93,830300,66.402252
"2021-12-09",67.239998,69.040001,66.959999,68.230003,822700,66.695511
"2021-12-10",68.959999,69.129997,67.129997,67.470001,1112000,65.952606
"2021-12-13",67.040001,67.209999,64.889999,65.150002,1437500,63.684776
"2021-12-14",65.269997,67.160004,65.150002,66.410004,1590400,64.916451
"2021-12-15",66.400002,67.360001,65.029999,67.080002,1407000,65.571373
"2021-12-16",68.389999,68.580002,66.839996,67.169998,1363700,65.65934
"2021-12-17",66.620003,66.879997,64.75,65.760002,3696400,64.281059
"2021-12-20",64.690002,64.690002,61.720001,62.860001,1534700,61.446278
"2021-12-21",63.869999,65.760002,63.639999,65.580002,1697300,64.10511
"2021-12-22",65.550003,66.739998,65.410004,66.300003,903200,64.808922
"2021-12-23",67,68.120003,66.769997,67.870003,863500,66.343605
"2021-12-27",68.190002,68.900002,67.449997,68.82,619600,67.27224
"2021-12-28",68.540001,69.610001,68.410004,68.580002,707800,67.037636
"2021-12-29",68.589996,69.110001,68.449997,68.839996,603500,67.291794
"2021-12-30",69.07,69.690002,68.470001,68.540001,479000,66.998535
"2021-12-31",68.18,68.93,68.18,68.260002,595100,66.724831
"2022-01-03",69.010002,70.709999,68.870003,69.709999,928800,68.14222
"2022-01-04",70.529999,73,70.529999,72.639999,1270400,71.006332
"2022-01-05",72.949997,73.529999,70.800003,70.910004,1850500,69.315231
"2022-01-06",72.559998,73.050003,70.919998,72.589996,1033000,70.957451
"2022-01-07",72.5,73.660004,72.099998,73.099998,972500,71.901711
"2022-01-10",73.610001,73.980003,71.260002,72.25,1435800,71.065643
"2022-01-11",72.330002,72.690002,70.970001,72.660004,1096800,71.468933
"2022-01-12",73.290001,73.879997,72.339996,72.730003,1056200,71.537781
"2022-01-13",73.260002,74.32,72.300003,72.690002,1116300,71.498436
"2022-01-14",71.389999,74.449997,70.839996,74.32,1062000,73.101715
