"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"2021-12-02",202.800003,209.509995,202.339996,207.960007,530200,204.308121
"2021-12-03",208.820007,210.369995,205.380005,207.429993,616800,203.787415
"2021-12-06",209.600006,211.369995,208.020004,208.309998,458500,204.651962
"2021-12-07",209.820007,215.020004,208.389999,215.009995,968000,211.234314
"2021-12-08",215.550003,218.869995,215.160004,218.160004,781500,214.328995
"2021-12-09",217.789993,218.889999,215.940002,216.050003,643100,212.256058
"2021-12-10",217.570007,217.570007,214.490005,216.470001,552300,212.668671
"2021-12-13",215.520004,219.5,214.309998,218.449997,686800,214.613907
"2021-12-14",218.449997,218.449997,215.039993,217.300003,776900,213.4841
"2021-12-15",218.169998,223.179993,218.169998,222.199997,572700,218.29805
"2021-12-16",222,223.169998,220.419998,222.889999,981400,218.975937
"2021-12-17",223.210007,224.860001,219.389999,220.139999,1678000,216.274231
"2021-12-20",218.470001,220.699997,215.809998,218.550003,492200,214.712158
"2021-12-21",218.990005,220.020004,217.199997,218.399994,488500,214.564774
"2021-12-22",219.149994,222.259995,218.5,222.190002,417900,218.288239
"2021-12-23",222.949997,223.820007,219.5,221.089996,253700,217.20755
"2021-12-27",221.919998,224.679993,220.800003,224.630005,345400,220.685394
"2021-12-28",224.610001,226.059998,223.740005,225.699997,373400,221.736588
"2021-12-29",226.320007,228.539993,224.350006,228.309998,391100,224.300751
"2021-12-30",228.089996,230.039993,227.470001,228.940002,390200,224.919708
"2021-12-31",229.039993,231.630005,229.020004,229.440002,414200,225.410919
"2022-01-03",229.429993,230.710007,222.75,226.130005,647300,222.159027
"2022-01-04",227.020004,230.410004,226.520004,227.389999,500900,223.396912
"2022-01-05",226.830002,227.960007,223.149994,223.220001,383500,219.300125
"2022-01-06",223.639999,224.410004,219.800003,220.899994,425000,217.020874
"2022-01-07",219.889999,220.039993,216.100006,216.419998,545500,212.619553
"2022-01-10",214.889999,217.320007,212.470001,214.699997,847100,210.929749
