"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2021-08-20",34.757488,35.249641,34.564907,35.206848,9351480,34.425819
"2021-08-23",35.071327,35.271042,34.821682,34.992867,5167632,34.216583
"2021-08-24",35.035664,35.035664,34.600571,34.885876,4648752,34.111969
"2021-08-25",34.843082,34.992867,34.736092,34.871613,6828020,34.098019
"2021-08-26",34.94294,34.950069,34.728958,34.793152,3746004,34.021301
"2021-08-27",34.857346,35.242512,34.857346,35.014263,5314561,34.237507
"2021-08-30",34.97147,35.249641,34.893009,35.128387,4157911,34.349098
"2021-08-31",35.021397,35.08559,34.793152,34.964336,8694503,34.18869
"2021-09-01",35.02853,35.435093,34.900143,35.378033,5718758,34.593208
"2021-09-02",35.399429,35.905849,35.349503,35.734665,7090054,34.941929
"2021-09-03",35.499287,35.805992,35.292439,35.53495,4956491,34.746643
"2021-09-07",35.44936,35.599144,35.221111,35.313835,6870080,34.530434
"2021-09-08",35.320969,36.105564,35.178318,35.920113,7435787,35.12326
"2021-09-09",35.763195,36.105564,35.649075,35.827389,6785119,35.032597
"2021-09-10",35.927246,36.048504,35.570614,35.599144,8207729,34.809414
"2021-09-13",35.96291,36.369473,35.813126,36.062767,9061827,35.262749
"2021-09-14",36.362339,36.362339,35.813126,35.93438,8252452,35.137211
"2021-09-15",35.93438,36.333809,35.699001,36.269615,10880081,35.465012
"2021-09-16",36.148357,36.184025,35.756062,35.791725,8198475,34.997719
"2021-09-17",35.805992,36.212551,35.342369,35.56348,18571172,34.77454
"2021-09-20",35.492153,35.813126,34.978603,35.45649,8676978,34.669922
"2021-09-21",35.45649,35.527817,34.94294,34.964336,6820029,34.18869
"2021-09-22",35.164051,35.435093,34.871613,35.221111,6990652,34.439766
"2021-09-23",35.221111,35.855919,35.071327,35.413696,5726329,34.628082
"2021-09-24",35.256775,35.556347,35.014263,35.121254,5457846,34.342125
"2021-09-27",35.164051,35.520683,34.821682,34.871613,6415412,34.098019
"2021-09-28",34.657631,34.857346,34.329529,34.379459,7478969,33.616787
"2021-09-29",34.422253,34.900143,34.293865,34.686165,7890316,33.916683
"2021-09-30",34.693295,34.857346,34.265335,34.479317,9699457,33.714428
"2021-10-01",34.536377,34.736092,34.03709,34.087021,7948639,33.330833
"2021-10-04",34.03709,34.557774,33.930099,34.486446,10789091,33.721397
"2021-10-05",34.600571,34.871613,34.215408,34.479317,8354798,33.714428
"2021-10-06",34.300999,35.042797,34.072754,35.02853,7043928,34.251461
"2021-10-07",35.099857,35.185448,34.650497,34.743225,6942283,33.972481
"2021-10-08",34.743225,34.878746,34.429386,34.486446,4670763,33.721397
"2021-10-11",34.529243,34.529243,33.880173,33.930099,4388961,33.177395
"2021-10-12",34.03709,34.564907,33.922966,34.443653,6209458,33.679558
"2021-10-13",34.529243,35.035664,34.365192,35.007133,7502663,34.230534
"2021-10-14",35.142654,35.827389,35.035664,35.756062,8709645,34.962849
"2021-10-15",35.827389,36.134094,35.499287,35.527817,8107766,34.739666
"2021-10-18",35.256775,35.627674,35.078461,35.584881,5260725,34.795467
"2021-10-19",35.741798,35.93438,35.584881,35.891582,4798205,35.095364
"2021-10-20",35.891582,36.576321,35.855919,36.52639,5985418,35.716087
"2021-10-21",36.291012,36.562054,36.233952,36.426533,4279465,35.618446
"2021-10-22",36.547791,36.740372,36.4408,36.597717,4799887,35.785835
"2021-10-25",36.533524,36.968616,36.4408,36.797432,4730628,35.981117
"2021-10-26",36.940086,37.303852,36.818829,37.104137,5232544,36.281021
"2021-10-27",36.997147,37.303852,36.754635,37.075607,5983596,36.253124
"2021-10-28",37.08987,37.660484,37.068474,37.624821,7313393,36.790154
"2021-10-29",37.56776,38.188301,37.5107,37.93866,9314888,37.097031
"2021-11-01",37.824535,38.537804,37.503567,38.437946,8144639,37.585236
"2021-11-02",38.480743,38.644794,38.095577,38.330956,8233806,37.480625
"2021-11-03",38.544937,39.015694,38.124107,38.552067,7172492,37.696831
"2021-11-04",38.53067,38.644794,38.159771,38.594864,8786334,37.738678
"2021-11-05",38.637661,38.98003,38.566334,38.616261,6544256,37.759598
"2021-11-08",38.594864,38.687588,37.53923,37.888729,7094400,37.048206
"2021-11-09",37.981457,38.666191,37.888729,38.580601,7800167,37.724731
"2021-11-10",38.544937,38.880173,38.359486,38.837376,5144499,37.975807
"2021-11-11",38.794579,39.044224,38.523537,39.015694,6128703,38.150169
"2021-11-12",38.730385,39.06562,38.637661,38.801712,7941489,38.208466
"2021-11-15",38.837376,39.079887,38.537804,39.06562,4804374,38.468338
"2021-11-16",39.079887,39.129814,38.651924,38.694721,5146041,38.103107
"2021-11-17",38.616261,38.716122,38.038517,38.216831,9369566,37.632526
"2021-11-18",38.124107,38.423679,37.93866,38.188301,6243386,37.604431
"2021-11-19",38.202568,38.373753,37.960056,38.238232,6107673,37.653599
"2021-11-22",38.238232,38.944366,38.188301,38.487873,6248994,37.899422
"2021-11-23",38.359486,38.865906,38.359486,38.787449,4952144,38.194416
"2021-11-24",38.758915,38.98716,38.516403,38.880173,4122160,38.285725
"2021-11-26",38.730385,38.744652,38.017117,38.109844,4222964,37.527176
"2021-11-29",38.330956,38.766048,38.109844,38.637661,5972380,38.046921
"2021-11-30",38.41655,38.459343,37.303852,37.610558,14721140,37.035522
"2021-12-01",37.981457,38.330956,37.253922,37.296719,8364332,36.726479
"2021-12-02",37.560627,38.166904,37.53923,37.746078,10169267,37.168972
"2021-12-03",38.038517,38.124107,36.897289,37.617687,11724365,37.042542
"2021-12-06",37.99572,38.601997,37.831669,38.181171,8585147,37.597412
"2021-12-07",38.124107,38.716122,38.102711,38.459343,9251798,37.87133
"2021-12-08",38.659058,38.744652,37.860199,38.109844,7298391,37.527176
