"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume","EXR.Adjusted"
"2021-12-22",217.119995,219.490005,216.529999,219.050003,432300,215.333267
"2021-12-23",219.580002,219.580002,216.289993,218,378300,214.301071
"2021-12-27",218.619995,221.820007,217.75,221.75,302400,217.987442
"2021-12-28",221.539993,223.899994,221.309998,222.550003,414500,218.77388
"2021-12-29",223.240005,226.320007,221.550003,225.419998,336100,221.595169
"2021-12-30",225.470001,227.330002,224.350006,225.570007,393000,221.74263
"2021-12-31",225.580002,228.839996,225.580002,226.729996,539500,222.882935
"2022-01-03",227,227.179993,215.210007,219.229996,607700,215.510208
"2022-01-04",219.360001,224.350006,219.360001,221.589996,752700,217.830154
"2022-01-05",220.809998,221.520004,217.169998,217.740005,688200,214.045486
"2022-01-06",217.369995,219.539993,214.649994,217.649994,663800,213.957016
"2022-01-07",217,217.839996,208.039993,208.449997,890200,204.913116
"2022-01-10",204.330002,208.679993,203.490005,208.509995,818000,204.972092
"2022-01-11",209.440002,210.360001,206.179993,210.059998,554900,206.495789
"2022-01-12",209.839996,212.889999,209.779999,211.710007,489100,208.117798
"2022-01-13",211.960007,212,206.029999,206.610001,594500,203.10434
"2022-01-14",206.270004,206.449997,200.440002,203.610001,886900,200.155228
"2022-01-18",201.860001,201.860001,197.720001,200.210007,758400,196.812927
"2022-01-19",201.399994,203.199997,198.330002,198.410004,679500,195.043472
"2022-01-20",200.300003,202.029999,195,195.380005,529300,192.06488
"2022-01-21",197.229996,198.25,194.990005,195.479996,603900,192.163177
"2022-01-24",193.979996,195.979996,188.229996,195,988300,191.69133
"2022-01-25",193,197.490005,190,195.470001,1344500,192.153351
"2022-01-26",196.119995,199.050003,191.630005,193.050003,831800,189.774414
"2022-01-27",195,196.369995,189.899994,190.339996,869300,187.110397
"2022-01-28",190.410004,197.220001,186.710007,196.910004,825900,193.568924
"2022-01-31",196.779999,199.259995,195.190002,198.190002,822400,194.827194
"2022-02-01",198.860001,200.160004,194.169998,197.559998,861600,194.207886
"2022-02-02",198.960007,207.440002,198.960007,206.809998,1076400,203.300934
"2022-02-03",205.309998,206.649994,203.600006,204.539993,784500,201.069443
"2022-02-04",203.160004,204.240005,199.360001,201.460007,606100,198.041733
