"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2021-08-10",278.049988,278.309998,273.839996,275.119995,465200,273.203613
"2021-08-11",276.149994,276.149994,272.26001,272.51001,355700,270.611786
"2021-08-12",271.220001,275.559998,271.220001,275.200012,406700,273.283081
"2021-08-13",275.640015,275.640015,273.309998,275.100006,297500,273.183777
"2021-08-16",275.570007,280.359985,274.880005,280.23999,508100,278.287933
"2021-08-17",279.769989,282.079987,279.26001,280.600006,424800,278.645477
"2021-08-18",280.5,283.170013,279.429993,279.570007,345500,278.038849
"2021-08-19",279,286.220001,277.950012,283.029999,304400,281.479828
"2021-08-20",281.730011,287.880005,281,285.690002,422600,284.125305
"2021-08-23",287.959991,290.26001,285.529999,285.839996,371900,284.274445
"2021-08-24",285.630005,287.079987,282,282.23999,367400,280.694183
"2021-08-25",282.299988,286.140015,281.579987,285.559998,347200,283.996002
"2021-08-26",285.230011,285.899994,282.970001,285.040009,250500,283.478851
"2021-08-27",286.160004,289.049988,285.179993,286.910004,297800,285.338593
"2021-08-30",285.899994,290.779999,285.540009,289.059998,342800,287.476837
"2021-08-31",290.019989,290.730011,287.320007,290.529999,520300,288.938751
"2021-09-01",288.410004,289.619995,283.470001,288.070007,552200,286.492249
"2021-09-02",289.570007,294.51001,289.470001,294.399994,301200,292.787567
"2021-09-03",292.160004,296.429993,290.880005,295.799988,245500,294.179901
"2021-09-07",296.170013,296.769989,292.170013,296.01001,473300,294.388763
"2021-09-08",292.799988,298.299988,291.670013,297.359985,462500,295.731384
"2021-09-09",298.600006,301.339996,295.309998,295.579987,347900,293.961121
"2021-09-10",297.329987,298.079987,294.600006,295.589996,539800,293.971069
"2021-09-13",296.790009,297.619995,287.5,288.899994,537800,287.317719
"2021-09-14",289.709991,293.790009,289.01001,292.279999,454500,290.679199
"2021-09-15",291.829987,292.559998,288.950012,290.420013,416700,288.829376
"2021-09-16",289.26001,289.26001,282.519989,286.179993,621100,284.61261
"2021-09-17",284.98999,287.859985,284,285.950012,917500,284.383881
"2021-09-20",282.100006,286.790009,280.869995,284.230011,624600,282.673279
"2021-09-21",287.029999,291.75,285.359985,288.230011,442400,286.651367
"2021-09-22",289.470001,290.75,286.690002,288.480011,299300,286.900024
"2021-09-23",289.640015,289.730011,282.040009,282.75,697500,281.201385
"2021-09-24",280.040009,280.480011,277.540009,279.480011,557100,277.94931
"2021-09-27",277.209991,277.670013,268.309998,270.5,585500,269.018494
"2021-09-28",268,268.230011,262.070007,264.820007,689300,263.369629
"2021-09-29",266.299988,267.290009,263.579987,265.359985,451000,263.906616
"2021-09-30",267.380005,269.390015,263.529999,263.549988,569600,262.106537
"2021-10-01",263.549988,263.970001,257.709991,262.200012,658900,260.763947
"2021-10-04",260.790009,261.079987,253.800003,255.020004,675900,253.62326
"2021-10-05",257.049988,260.399994,255.610001,257.970001,558300,256.557098
"2021-10-06",256.570007,256.679993,252.429993,256.170013,688700,254.766968
"2021-10-07",258.350006,261.559998,254.860001,254.990005,430800,253.59343
"2021-10-08",257,257.799988,252.949997,253.899994,547800,252.509384
"2021-10-11",253.369995,255.479996,251.429993,251.619995,609400,250.241882
"2021-10-12",253.5,254.399994,251.5,252.25,776700,250.868439
"2021-10-13",253.720001,254.330002,251.039993,252.25,848400,250.868439
"2021-10-14",255.059998,256.730011,253.029999,254.619995,697700,253.225449
"2021-10-15",255.770004,258.070007,255.25,255.490005,570900,254.090698
"2021-10-18",254.309998,257.540009,252.009995,256.98999,792500,255.582458
"2021-10-19",261.079987,263.350006,260.040009,260.160004,584000,258.735107
"2021-10-20",262.549988,263.269989,259.179993,261.450012,623300,260.018066
"2021-10-21",262.029999,263.450012,259.549988,263.040009,584500,261.599335
"2021-10-22",264.109985,268.130005,262.73999,267.5,659600,266.034943
"2021-10-25",268,268.230011,265.200012,267.980011,580700,266.512299
"2021-10-26",270.380005,270.380005,266.859985,267.720001,381200,266.253693
"2021-10-27",268.5,270.950012,266.01001,268.119995,572400,266.651489
"2021-10-28",269.549988,275.660004,267.040009,268.660004,598600,267.188568
"2021-10-29",271.470001,275.109985,257.839996,262.910004,889000,261.470032
"2021-11-01",264.450012,266.690002,262,264.950012,564300,263.498901
"2021-11-02",265.279999,268.25,261.570007,262.600006,549300,261.161743
"2021-11-03",264.290009,268.149994,261.869995,268.119995,509100,266.651489
"2021-11-04",266.709991,267.869995,259.899994,262.649994,522400,261.211456
"2021-11-05",262.190002,264.48999,258.480011,260.549988,458900,259.122955
"2021-11-08",259.959991,263.809998,258.869995,263.630005,517400,262.186127
"2021-11-09",262.029999,263.619995,259.730011,261.649994,387200,260.632141
"2021-11-10",260.579987,263.5,259.109985,259.470001,475400,258.460663
"2021-11-11",259.540009,259.540009,252.029999,253.300003,643800,252.314651
"2021-11-12",254.130005,255.880005,252.119995,254.809998,496800,253.818771
"2021-11-15",271.75,275.600006,261.109985,262.369995,1254400,261.349365
"2021-11-16",262.299988,268.899994,261.190002,266.480011,545300,265.44339
"2021-11-17",266,266.179993,262.01001,262.529999,446300,261.508728
"2021-11-18",263.019989,264.25,262.01001,263.160004,268000,262.136292
"2021-11-19",263,265.480011,257.720001,260.309998,402800,259.297394
"2021-11-22",261.029999,261.299988,256.450012,257.220001,497400,256.219391
"2021-11-23",255.830002,256.369995,251.059998,254.360001,279800,253.370529
"2021-11-24",252.800003,255.070007,252.419998,255,275400,254.008041
"2021-11-26",255.240005,259.170013,250.440002,251.210007,241000,250.232788
"2021-11-29",252.679993,258.540009,251.729996,256.920013,446300,255.920563
"2021-11-30",257.660004,261.25,254.160004,254.850006,1434300,253.858627
"2021-12-01",255.910004,259.200012,252.259995,253.289993,499200,252.304672
"2021-12-02",252.699997,258.540009,252.600006,255.880005,424900,254.884628
"2021-12-03",257.929993,258.450012,252.490005,254.779999,489700,253.788895
"2021-12-06",258.149994,261.75,257.049988,260.299988,498800,259.287384
"2021-12-07",263.079987,266.929993,262.350006,265.910004,382300,264.87561
"2021-12-08",266.480011,268.769989,265.920013,268.019989,363200,266.977386
"2021-12-09",267.980011,268.570007,264.549988,264.559998,332000,263.530853
"2021-12-10",264.920013,265.600006,258.720001,261.380005,398100,260.36322
"2021-12-13",260.75,264.529999,258.109985,263.48999,376600,262.464996
"2021-12-14",262.940002,263.480011,255.449997,256.459991,434200,255.462357
