"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2021-11-08",106.830002,106.949997,104.419998,105.07,1258800,103.62513
"2021-11-09",105,108.589996,104.540001,106.989998,1115600,105.518715
"2021-11-10",106.739998,107.839996,105.639999,105.809998,649100,104.354958
"2021-11-11",105.919998,106.510002,104.82,105.68,705900,104.226738
"2021-11-12",105.82,106.900002,105.699997,106.089996,462100,104.631096
"2021-11-15",106.080002,107.339996,105.300003,106.349998,650600,104.887527
"2021-11-16",106.650002,106.870003,105.330002,105.370003,621000,103.921005
"2021-11-17",105.010002,105.900002,104.410004,104.980003,493500,103.536369
"2021-11-18",105.139999,105.93,104.459999,105.080002,410300,103.634995
"2021-11-19",104.599998,105.480003,104,104.050003,537600,102.619148
"2021-11-22",104.370003,105.970001,104.050003,104.190002,568000,102.757225
"2021-11-23",104.339996,105.080002,102.860001,104.910004,630500,103.467331
"2021-11-24",104.18,104.800003,103.230003,104.120003,456400,102.688187
"2021-11-26",101.620003,102.760002,100.75,102.639999,393500,101.228546
"2021-11-29",105.230003,105.330002,102.510002,103.540001,1044400,102.116165
"2021-11-30",102.550003,103.449997,99.18,100.190002,1207500,98.812241
"2021-12-01",102.599998,104.339996,100.139999,100.169998,788800,98.792511
"2021-12-02",100.839996,104.290001,100.5,103.529999,861500,102.1063
"2021-12-03",104.040001,106.660004,102.910004,103.690002,982300,102.264107
"2021-12-06",105.18,106.57,104.440002,105.559998,651200,104.108391
"2021-12-07",106.529999,108.230003,105.900002,107.099998,774500,105.627205
"2021-12-08",107.32,109.32,107.029999,108.769997,852100,107.274246
"2021-12-09",107.940002,108.910004,107.32,107.440002,619600,105.962532
"2021-12-10",108.720001,109.389999,107.209999,108.169998,584000,106.682495
"2021-12-13",107.68,107.870003,104.889999,105.029999,968100,103.585678
"2021-12-14",104.980003,106.370003,104.43,104.610001,1062500,103.171455
"2021-12-15",104.43,105.970001,103.519997,105.699997,1060500,104.24646
"2021-12-16",105.650002,107.220001,104.699997,104.970001,1063400,103.526505
"2021-12-17",104.800003,105.239998,103.459999,103.980003,2932500,102.550117
"2021-12-20",102.870003,103.529999,100.449997,102.239998,948400,100.834038
"2021-12-21",103.209999,106.160004,102.940002,105.779999,922700,104.325363
"2021-12-22",105.5,107.739998,105.25,107.5,707100,106.021713
"2021-12-23",107.760002,109.690002,107.57,109.120003,730300,107.619438
"2021-12-27",109.07,109.470001,107.93,108.949997,512200,107.451775
"2021-12-28",108.730003,110,108.720001,109.57,517700,108.063248
"2021-12-29",109.519997,110,109.120003,109.400002,339400,107.895592
"2021-12-30",109.029999,110,108.480003,109.389999,422500,108.410927
"2021-12-31",109.449997,110.339996,109.120003,109.889999,451600,108.906456
"2022-01-03",110.559998,111.580002,110.050003,110.150002,674600,109.164131
"2022-01-04",109.610001,111.879997,109.610001,111.209999,928800,110.214645
"2022-01-05",111.870003,112.309998,108.860001,109,770300,108.024414
"2022-01-06",110.080002,110.360001,107.889999,107.900002,716200,106.934265
"2022-01-07",108.160004,108.550003,107.190002,108.209999,669200,107.241486
"2022-01-10",107.809998,107.809998,106.110001,107.400002,632600,106.438744
