"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"2021-11-18",232.009995,234.070007,229.029999,234,312100,232.668869
"2021-11-19",235.279999,235.279999,232.190002,233.539993,1067700,232.211456
"2021-11-22",232.169998,233.830002,230.5,230.960007,390500,230.069778
"2021-11-23",229.899994,230.509995,227.169998,228.880005,327600,227.997787
"2021-11-24",228.089996,229.809998,226.350006,228,224900,227.12117
"2021-11-26",227.880005,230.270004,226.75,227.309998,232800,226.433838
"2021-11-29",228.919998,230.339996,226.470001,226.690002,407400,225.816223
"2021-11-30",225.330002,226.800003,217.600006,218.529999,1245100,217.687668
"2021-12-01",219.899994,221.570007,215.610001,215.639999,592800,214.808823
"2021-12-02",215.580002,221.889999,215.5,220.630005,397800,219.779587
"2021-12-03",221.770004,221.770004,216.779999,219.570007,271200,218.723679
"2021-12-06",220.570007,226.089996,220.139999,225.490005,525700,224.62085
"2021-12-07",227.720001,230.929993,226.5,228.320007,375100,227.439941
"2021-12-08",228.360001,231.820007,227.979996,230.589996,299800,229.701187
"2021-12-09",229.990005,233.149994,229.350006,232.369995,448000,231.474335
"2021-12-10",232.820007,235.440002,229.020004,229.789993,265000,228.904266
"2021-12-13",229.820007,230.910004,227.589996,230.020004,413100,229.133392
"2021-12-14",228.080002,229.800003,224.809998,226.830002,406200,225.955688
"2021-12-15",228.130005,229.399994,224.970001,229.059998,375700,228.177094
"2021-12-16",230.080002,232.850006,229.320007,230.899994,543200,230.009995
"2021-12-17",231.490005,235.949997,229.830002,232.539993,873600,231.643677
"2021-12-20",230.5,230.720001,222.550003,226.779999,552800,225.905884
"2021-12-21",227.429993,231.330002,225.869995,231.210007,296300,230.318817
"2021-12-22",231.809998,235.149994,231.240005,234.839996,294600,233.934814
"2021-12-23",235.119995,242.339996,234.889999,241.070007,520700,240.140808
"2021-12-27",242.050003,245.190002,241.179993,244.979996,264900,244.035721
"2021-12-28",244.979996,245.440002,243.220001,243.789993,199000,242.850311
"2021-12-29",244.119995,244.75,241.490005,242.320007,285600,241.385986
"2021-12-30",243.460007,245.820007,241.419998,245.169998,308500,244.225006
"2021-12-31",244.830002,245.059998,242.910004,243.410004,212200,242.471786
"2022-01-03",243.110001,243.759995,239.669998,242.570007,351600,241.635025
"2022-01-04",242.880005,248.300003,242.610001,245.160004,478200,244.215042
"2022-01-05",244.820007,245.610001,238.869995,238.910004,554000,237.98912
"2022-01-06",239.160004,241.5,235.850006,238.460007,459900,237.540863
"2022-01-07",237.229996,238.050003,232.800003,234.809998,416900,233.904922
"2022-01-10",233.220001,233.779999,227.5,231.520004,476800,230.627609
