"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"2021-08-05",106.75,108,106.330002,107.93,2843600,103.916641
"2021-08-06",107.419998,108.059998,106.879997,106.959999,2617800,102.982719
"2021-08-09",106.699997,107.010002,105.470001,106.150002,2435800,102.202835
"2021-08-10",106.5,107.239998,106,106.900002,2022100,102.924942
"2021-08-11",107.279999,107.809998,106.970001,107.139999,2510400,103.156013
"2021-08-12",105.790001,106.5,105.470001,105.690002,2227000,102.704155
"2021-08-13",105.980003,106.290001,105.529999,106,2010900,103.005402
"2021-08-16",106.330002,108.379997,106.160004,107.809998,3286700,104.764259
"2021-08-17",107.790001,108.239998,106.75,107.709999,2151900,104.667091
"2021-08-18",107.769997,107.839996,106.57,107.050003,2834100,104.025742
"2021-08-19",107.059998,108.220001,106.699997,106.879997,2464600,103.860542
"2021-08-20",106.230003,107.339996,105.639999,107.209999,2569100,104.181213
"2021-08-23",107.059998,107.470001,105.68,105.830002,2712700,102.840202
"2021-08-24",106.029999,106.169998,104.389999,105.150002,3730600,102.17942
"2021-08-25",105.129997,105.959999,104.43,105.379997,2357900,102.402916
"2021-08-26",105.400002,105.580002,104.82,104.849998,2495800,101.887886
"2021-08-27",105.080002,105.330002,104.510002,104.669998,1724400,101.712975
"2021-08-30",104.5,105.160004,104.339996,104.790001,1947800,101.829582
"2021-08-31",104.839996,105.620003,104.400002,104.660004,3069300,101.703262
"2021-09-01",104.900002,106.379997,104.669998,106.120003,2499500,103.122009
"2021-09-02",106.199997,106.949997,106,106.650002,2792500,103.637039
"2021-09-03",106.389999,106.639999,105.470001,105.68,3043700,102.694435
"2021-09-07",105.519997,105.589996,103.169998,103.199997,4472500,100.2845
"2021-09-08",103.269997,105.650002,102.709999,105.330002,3616300,102.354324
"2021-09-09",105.089996,105.349998,104.529999,104.620003,2317700,101.664383
"2021-09-10",104.650002,104.790001,103.150002,103.199997,2391700,100.2845
"2021-09-13",103.980003,104.220001,102.550003,102.730003,2801100,99.827782
"2021-09-14",103,103.510002,101.480003,101.610001,3421700,98.739418
"2021-09-15",101.25,102.419998,100.800003,102.029999,2795800,99.14756
"2021-09-16",102.489998,102.809998,101.279999,101.410004,3219100,98.545074
"2021-09-17",101,101.580002,99.57,99.669998,6699200,96.854233
"2021-09-20",99.290001,100.309998,98.529999,99.639999,4907800,96.825073
"2021-09-21",99.919998,100.470001,98.830002,98.919998,3274900,96.12542
"2021-09-22",99.25,99.459999,98.18,98.540001,2732900,95.756157
"2021-09-23",98.610001,99.449997,98.199997,98.400002,2419900,95.620117
"2021-09-24",98.25,99.080002,97.889999,98.459999,3010800,95.678406
"2021-09-27",98.449997,99.559998,97.5,97.629997,2772800,94.871857
"2021-09-28",97.449997,97.860001,96.580002,97.050003,3126800,94.308243
"2021-09-29",97.050003,99.029999,96.949997,98.339996,3299000,95.561798
"2021-09-30",98.519997,98.699997,97.559998,97.589996,2962300,94.832985
"2021-10-01",98.199997,98.879997,97.610001,98.459999,4598500,95.678406
"2021-10-04",98.660004,101.029999,98.510002,100.760002,4645600,97.913429
"2021-10-05",100.879997,100.980003,99.949997,100.169998,3411500,97.340103
"2021-10-06",99.93,101.910004,99.25,101.849998,2794800,98.972641
"2021-10-07",101.919998,102.559998,100.860001,100.959999,2020000,98.10778
"2021-10-08",101,101.32,100.410004,100.529999,1745000,97.689934
"2021-10-11",100.18,100.730003,99.349998,99.709999,1659700,96.893097
"2021-10-12",99.849998,100.559998,99.580002,99.82,2426000,96.999992
"2021-10-13",99.839996,100.75,99.050003,100.699997,1798800,97.855125
"2021-10-14",101.110001,101.889999,100.760002,101.650002,3045600,98.778297
"2021-10-15",101.75,101.989998,100.099998,100.349998,2593400,97.515015
"2021-10-18",99.849998,100.18,99.150002,99.860001,2057600,97.038864
"2021-10-19",100.349998,101.220001,100.129997,101.129997,1759000,98.27298
"2021-10-20",101.25,102.57,101.25,102.230003,1892700,99.341911
"2021-10-21",102.389999,103.029999,102.169998,103,2057800,100.090149
"2021-10-22",103.209999,104.940002,102.970001,103.779999,2430300,100.848114
"2021-10-25",103.690002,103.699997,102.620003,102.839996,1681600,99.934669
"2021-10-26",102.790001,104.139999,102.639999,103.290001,2298300,100.371964
"2021-10-27",103.650002,103.82,102.650002,102.760002,1519200,99.856934
"2021-10-28",102.419998,102.849998,101.769997,102.489998,1973600,99.594559
"2021-10-29",102.239998,102.959999,101.599998,102.010002,2301300,99.12812
"2021-11-01",102.129997,102.68,101.459999,102.309998,1606500,99.419647
"2021-11-02",102.629997,102.809998,101.5,102.449997,2701100,99.555687
"2021-11-03",102.25,102.949997,101.449997,102.540001,2062000,99.64315
"2021-11-04",102.389999,102.849998,99.870003,101.019997,3054500,98.166084
"2021-11-05",101.190002,102.669998,101.050003,101.68,2127800,98.807442
"2021-11-08",101.879997,101.989998,100.510002,101.419998,3686700,98.554787
"2021-11-09",101.790001,102.25,101.230003,101.959999,2876300,99.079529
"2021-11-10",101.279999,101.910004,100.690002,101.620003,1876700,99.712425
"2021-11-11",101.360001,101.559998,99.959999,100.25,2002600,98.368141
"2021-11-12",100.25,100.5,99.580002,99.879997,2504100,98.005089
"2021-11-15",100.239998,101.010002,99.730003,100.599998,2362900,98.711571
"2021-11-16",100.529999,100.769997,98.959999,99.080002,3758800,97.220108
"2021-11-17",99,99.25,98.410004,98.989998,2368600,97.131798
"2021-11-18",98.580002,98.660004,97.980003,98.370003,2809800,96.523438
"2021-11-19",98.449997,98.760002,97.959999,98.419998,2986300,96.572495
"2021-11-22",98.5,100.550003,98.32,100.25,3913900,98.368141
"2021-11-23",100.489998,101.07,99.379997,100.739998,3174100,98.848946
"2021-11-24",100.989998,101.190002,99.919998,100.18,2236800,98.299461
"2021-11-26",99.18,100.660004,99.150002,99.279999,1805400,97.416351
"2021-11-29",99.919998,100.489998,99.110001,100.220001,2128900,98.338707
