"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2021-05-04",131.190002,131.490005,126.699997,127.849998,137564700,126.90815
"2021-05-05",129.199997,130.449997,127.970001,128.100006,84000900,127.156311
"2021-05-06",127.889999,129.75,127.129997,129.740005,78128300,128.784225
"2021-05-07",130.850006,131.259995,129.479996,130.210007,78973300,129.470322
"2021-05-10",129.410004,129.539993,126.809998,126.849998,88071200,126.129387
"2021-05-11",123.5,126.269997,122.769997,125.910004,126142800,125.19474
"2021-05-12",123.400002,124.639999,122.25,122.769997,112172300,122.072571
"2021-05-13",124.580002,126.150002,124.260002,124.970001,105861300,124.260078
"2021-05-14",126.25,127.889999,125.849998,127.449997,81918000,126.72599
"2021-05-17",126.82,126.93,125.169998,126.269997,74244600,125.552681
"2021-05-18",126.559998,126.989998,124.779999,124.849998,63342900,124.140762
"2021-05-19",123.160004,124.919998,122.860001,124.690002,92612000,123.981667
"2021-05-20",125.230003,127.720001,125.099998,127.309998,76857100,126.586777
"2021-05-21",127.82,128,125.209999,125.43,79295400,124.717461
"2021-05-24",126.010002,127.940002,125.940002,127.099998,63092900,126.377975
"2021-05-25",127.82,128.320007,126.32,126.900002,72009500,126.179115
"2021-05-26",126.959999,127.389999,126.419998,126.849998,56575900,126.129387
"2021-05-27",126.440002,127.639999,125.080002,125.279999,94625600,124.568314
"2021-05-28",125.57,125.800003,124.550003,124.610001,71311100,123.902115
"2021-06-01",125.080002,125.349998,123.940002,124.279999,67637100,123.573982
"2021-06-02",124.279999,125.239998,124.050003,125.059998,59278900,124.349564
"2021-06-03",124.68,124.849998,123.129997,123.540001,76229200,122.838203
"2021-06-04",124.07,126.160004,123.849998,125.889999,75169300,125.17485
"2021-06-07",126.169998,126.32,124.830002,125.900002,71057600,125.184799
"2021-06-08",126.599998,128.460007,126.209999,126.739998,74403800,126.02002
"2021-06-09",127.209999,127.75,126.519997,127.129997,56877900,126.407806
"2021-06-10",127.019997,128.190002,125.940002,126.110001,71186400,125.393608
"2021-06-11",126.529999,127.440002,126.099998,127.349998,53522400,126.626549
"2021-06-14",127.82,130.539993,127.07,130.479996,96906500,129.738754
"2021-06-15",129.940002,130.600006,129.389999,129.639999,62746300,128.903549
"2021-06-16",130.369995,130.889999,128.460007,130.149994,91815000,129.410645
"2021-06-17",129.800003,132.550003,129.649994,131.789993,96721700,131.041321
"2021-06-18",130.710007,131.509995,130.240005,130.460007,108953300,129.718887
