"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2021-11-09",220.339996,221.960007,219.080002,221.729996,753600,215.670868
"2021-11-10",221.75,223.850006,220.130005,221.080002,970000,215.038666
"2021-11-11",221.529999,222.850006,220.380005,222.509995,1005400,216.429565
"2021-11-12",222.449997,225.149994,221.679993,224.850006,1630100,218.705627
"2021-11-15",224.429993,226.800003,223.990005,226.679993,1496700,220.485611
"2021-11-16",227.270004,228.020004,225.360001,225.660004,1210800,219.493484
"2021-11-17",225.539993,227.059998,223.169998,226.419998,1143100,220.232727
"2021-11-18",225.979996,226.669998,224.339996,226.199997,1128300,220.018738
"2021-11-19",226.199997,226.339996,221.990005,223.309998,1255500,217.207703
"2021-11-22",223.399994,225.710007,222.779999,224.330002,1101600,218.199844
"2021-11-23",222.929993,228.080002,222.220001,227.940002,1252400,221.711197
"2021-11-24",228.850006,230.899994,227.800003,228.940002,1244900,222.683853
"2021-11-26",225,225.929993,221.110001,222.160004,1006500,216.089142
"2021-11-29",223.460007,225.990005,222.309998,225.330002,1461000,219.172516
"2021-11-30",223.899994,224.759995,218.889999,220.520004,2660000,214.493958
"2021-12-01",223.210007,225,219.589996,220.009995,1406900,213.997879
"2021-12-02",220.460007,228.289993,220.460007,226.550003,1370000,220.359161
"2021-12-03",228.009995,228.009995,221.929993,225.259995,1303800,219.104416
"2021-12-06",226.850006,227.110001,223.860001,224.449997,1260200,218.316559
"2021-12-07",226.589996,231.539993,226.070007,231.25,1410600,224.93074
"2021-12-08",231.130005,232.639999,230.229996,231.970001,1202900,225.631058
"2021-12-09",230.210007,230.759995,227.179993,227.639999,994700,222.281784
"2021-12-10",228.600006,228.970001,226.210007,228.399994,1046400,223.023895
"2021-12-13",228.160004,228.919998,226.25,227.899994,951500,222.53566
"2021-12-14",227.539993,229.169998,225.660004,227.550003,1648900,222.193909
"2021-12-15",228.75,228.830002,226.289993,227.649994,1431400,222.29155
"2021-12-16",228.600006,230,227.169998,229.089996,1336400,223.697662
"2021-12-17",228.770004,229.369995,223.449997,224.779999,2512900,219.48912
"2021-12-20",222.229996,222.630005,218.639999,221.910004,859300,216.686661
"2021-12-21",223.949997,226.089996,222.850006,225.199997,849400,219.899216
"2021-12-22",225.089996,227.279999,224.440002,227.199997,704300,221.852142
"2021-12-23",228.360001,230.380005,228.210007,228.960007,1031600,223.570724
"2021-12-27",226,229.580002,225.580002,229.429993,785100,227.255447
