"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2021-09-20",64.300003,65.32,63.189999,64.269997,2989700,62.209778
"2021-09-21",65.150002,65.32,63.560001,64.339996,2170000,62.277531
"2021-09-22",65.459999,68.019997,65.440002,67.010002,4003600,64.861946
"2021-09-23",67.089996,68.860001,66.879997,68.610001,2520300,66.41066
"2021-09-24",67.980003,68.489998,67.400002,68.040001,2424700,65.858932
"2021-09-27",69.529999,71.510002,69.080002,71.129997,3136300,68.849869
"2021-09-28",72.260002,72.949997,70.769997,70.910004,3790400,68.636932
"2021-09-29",70.779999,70.839996,69.690002,69.959999,2351900,67.717384
"2021-09-30",70.120003,70.889999,69.089996,70.029999,3435400,67.785133
"2021-10-01",70.089996,72.779999,70.089996,72.57,2859400,70.243721
"2021-10-04",73,75.93,72.290001,75.709999,6312000,73.283066
"2021-10-05",77.099998,78.919998,75.669998,77.349998,5064900,74.870491
"2021-10-06",77.019997,78.68,76.269997,78.389999,4437300,75.877151
"2021-10-07",78.709999,79.980003,78.449997,79.300003,2746500,76.757988
"2021-10-08",80.010002,82.650002,79.639999,82.129997,3274000,79.497261
"2021-10-11",82.959999,84.510002,82.010002,82.040001,2671900,79.410149
"2021-10-12",82,83.339996,81.809998,82.629997,2217500,79.981232
"2021-10-13",81.800003,82.389999,80.559998,81.870003,3511800,79.245598
"2021-10-14",83.099998,83.529999,81.730003,82.160004,2283100,79.526306
"2021-10-15",83,83.349998,81.190002,81.220001,2092900,78.61644
"2021-10-18",81.669998,82.639999,80.400002,80.870003,2534500,78.277657
"2021-10-19",81.400002,82.889999,81.059998,82.779999,2880000,80.126427
"2021-10-20",82.339996,83.330002,81.879997,83.32,2016900,80.649117
"2021-10-21",82.68,84.239998,81.860001,82.730003,2536000,80.078033
"2021-10-22",82.93,83.849998,81.519997,82.889999,1880200,80.232903
"2021-10-25",83.550003,84.080002,82.830002,83.730003,1939200,81.045982
"2021-10-26",83.739998,83.75,81.959999,82.220001,3262700,79.584381
"2021-10-27",80.5,80.849998,77.129997,77.349998,5417200,74.870491
"2021-10-28",76.5,77.989998,76,76.75,3380000,74.289719
"2021-10-29",77,77.68,74.07,74.779999,5110900,72.382866
"2021-11-01",75.410004,78.18,75.300003,78.139999,5824600,75.635162
"2021-11-02",78.099998,79.970001,77.550003,77.550003,4552600,75.064079
"2021-11-03",77.260002,79.540001,76.989998,78.940002,4270800,76.409523
"2021-11-04",79.839996,80.129997,76.309998,76.879997,2859200,74.415558
"2021-11-05",78,78.379997,76.599998,77.769997,2682400,75.277031
"2021-11-08",78.599998,79.07,77.419998,77.989998,1640600,75.489967
"2021-11-09",77.82,79.230003,77.269997,79.169998,2363700,76.632149
"2021-11-10",79.080002,79.760002,77.110001,77.529999,2910300,75.044724
"2021-11-11",77.5,78.720001,77.18,77.870003,1510500,75.373825
"2021-11-12",77.18,78.139999,76.559998,77.470001,2146500,74.986649
"2021-11-15",78.099998,79.559998,77.260002,78.910004,3721000,76.380478
"2021-11-16",78.040001,78.5,76.599998,76.989998,2950000,75.401115
"2021-11-17",76.230003,76.57,74.470001,74.68,2299800,73.138794
"2021-11-18",74.470001,75.07,73,73.709999,2548600,72.188805
"2021-11-19",72.010002,72.300003,69.510002,69.639999,4692200,68.202805
"2021-11-22",69.610001,73.440002,69.57,72.190002,3782400,70.700188
"2021-11-23",73.160004,74.139999,72.839996,73.830002,3452500,72.306335
"2021-11-24",73.379997,74.790001,73.139999,73.870003,2305200,72.345512
"2021-11-26",69.870003,69.970001,67.080002,69.25,5044500,67.820854
"2021-11-29",70.739998,71.910004,69.019997,69.860001,3400500,68.418266
"2021-11-30",68.010002,69.739998,68.010002,69.169998,5819900,67.7425
"2021-12-01",71.400002,71.830002,68.629997,68.669998,3976800,67.252823
"2021-12-02",68.830002,71.730003,67.93,71.379997,3617500,69.906891
"2021-12-03",72.5,72.879997,69.470001,70,3219500,68.555374
"2021-12-06",71.099998,72.309998,69.540001,71.07,3866000,69.603287
"2021-12-07",72.040001,74.089996,72,72.480003,2572900,70.9842
"2021-12-08",72.699997,73.169998,71.709999,71.849998,1947700,70.367195
"2021-12-09",72.010002,72.849998,71.260002,72.300003,3913400,70.807915
"2021-12-10",73.010002,73.209999,71.32,72.519997,2268800,71.023369
"2021-12-13",71.529999,71.970001,69.510002,69.639999,2527800,68.202805
"2021-12-14",69.449997,72.419998,69.32,70.730003,3360000,69.270317
"2021-12-15",70.239998,71.029999,69.239998,70.519997,2666100,69.064644
"2021-12-16",71.360001,72.400002,70.800003,70.959999,2965600,69.49556
"2021-12-17",70.839996,71.889999,69.529999,71.800003,5988200,70.31823
"2021-12-20",69.769997,71.019997,68.57,69.43,5883100,67.997139
"2021-12-21",70.410004,72.769997,70.239998,72.139999,5058500,70.651207
"2021-12-22",72.32,72.980003,71.480003,71.620003,2320700,70.141945
"2021-12-23",72.580002,73.169998,71.849998,71.900002,2970100,70.416161
"2021-12-27",71.559998,72.839996,70.660004,72.790001,2229500,71.287796
"2021-12-28",73.099998,74.199997,72.959999,73.93,2316200,72.404274
"2021-12-29",73.599998,73.93,72.790001,72.849998,2693100,71.346558
"2021-12-30",72.919998,73.980003,72.379997,72.449997,2469200,70.954811
"2021-12-31",72.25,73.050003,72.050003,72.459999,2317800,70.964607
