"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2021-11-11",163.970001,163.979996,162.550003,162.690002,2453000,159.433197
"2021-11-12",163.009995,163.929993,162.080002,162.649994,3540900,159.393997
"2021-11-15",162.509995,163.880005,162.490005,163.800003,3357100,160.520981
"2021-11-16",164.270004,164.990005,163.229996,163.309998,2899400,160.040787
"2021-11-17",162.619995,163.669998,162.080002,163.369995,3332200,160.099579
"2021-11-18",162.809998,163.520004,161.75,163.419998,3498900,160.14859
"2021-11-19",164.5,165.029999,163.440002,163.809998,5242200,160.530777
"2021-11-22",163.199997,166.800003,163.179993,164.149994,4157200,160.863968
"2021-11-23",163.559998,165.720001,163.309998,165.25,3878000,161.94194
"2021-11-24",165.089996,165.5,162.580002,163.740005,3309500,160.462189
"2021-11-26",162.710007,163.660004,160.889999,161.139999,3402900,157.914215
"2021-11-29",162.669998,164.580002,161.139999,164.139999,5305800,160.854172
"2021-11-30",163.830002,164,158.389999,159.779999,7610000,156.581451
"2021-12-01",162.470001,163.25,160.050003,160.160004,5385600,156.953842
"2021-12-02",160.130005,161.690002,159.830002,160.619995,4619800,158.468277
"2021-12-03",161.470001,164.880005,161.339996,164.710007,6465900,162.503479
"2021-12-06",166.050003,167.289993,165.789993,166.419998,5403100,164.190567
"2021-12-07",166.419998,166.960007,165.660004,166.229996,5460100,164.003128
"2021-12-08",166.139999,166.690002,164.029999,166.520004,3891900,164.28923
"2021-12-09",165.919998,166.880005,164.850006,166.309998,3644500,164.082047
"2021-12-10",167.539993,169.119995,166.899994,168.970001,5025700,166.706421
"2021-12-13",168.929993,171.259995,168.050003,169.809998,5411800,167.535172
"2021-12-14",169.350006,170.389999,168.300003,169.389999,4985000,167.120789
"2021-12-15",169.770004,171.779999,169.460007,171.570007,5507800,169.271591
"2021-12-16",171.570007,173.559998,171.020004,171.820007,6909900,169.51825
"2021-12-17",171.110001,172.380005,168.050003,168.300003,10159600,166.045395
"2021-12-20",167.160004,169.5,166.75,169.419998,5263600,167.150391
"2021-12-21",169.229996,169.600006,167.779999,168.919998,3401400,166.657089
"2021-12-22",168.960007,169.990005,168.270004,169.970001,4362900,167.693024
"2021-12-23",169.979996,170.630005,169.25,169.779999,3241700,167.505554
