"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2021-10-21",301.890015,306.940002,300.570007,306.779999,970600,304.857819
"2021-10-22",306.779999,308.450012,306.23999,306.619995,653600,304.698792
"2021-10-25",308,310.75,306.73999,309.720001,1052900,307.779388
"2021-10-26",309.709991,318.850006,302.019989,316.019989,1931600,314.039886
"2021-10-27",317.600006,321.670013,316.309998,317.380005,1365400,315.391388
"2021-10-28",316.679993,323.820007,314.5,321.420013,1152000,319.406097
"2021-10-29",321.309998,323.5,314.600006,316.609985,1524700,314.626221
"2021-11-01",316.619995,318.029999,310.049988,310.089996,1284000,308.147064
"2021-11-02",311.329987,314.190002,310.920013,312.790009,994800,310.83017
"2021-11-03",314.220001,314.929993,310.269989,314.26001,1281600,312.290955
"2021-11-04",313,318.910004,312.950012,318.589996,1040900,316.593811
"2021-11-05",318.920013,322.329987,317.309998,319.029999,1098500,317.031067
"2021-11-08",320.320007,322.480011,319.420013,320.799988,765200,318.789948
"2021-11-09",320.619995,324.640015,319.359985,324.049988,781000,322.019562
"2021-11-10",323.309998,325.679993,323.309998,324.609985,973200,322.57608
"2021-11-11",323.950012,326.109985,323,326,620600,323.957397
"2021-11-12",327.049988,331.5,326,331.399994,1212700,329.323547
"2021-11-15",330.279999,333,327.859985,332.850006,852200,330.764435
"2021-11-16",333.380005,340.070007,332.880005,338.640015,1334500,336.518219
"2021-11-17",338.029999,340.450012,332.959991,333.160004,1131600,331.07251
"2021-11-18",333.380005,335.48999,330.380005,330.73999,1126100,329.211151
"2021-11-19",331.920013,334.769989,329.320007,332.25,1355800,330.714172
"2021-11-22",332.690002,335.51001,329.769989,329.809998,971800,328.285461
"2021-11-23",329,331.25,326.089996,327.48999,1024700,325.976196
"2021-11-24",327,328.559998,326.23999,328.019989,907200,326.503723
"2021-11-26",323.920013,328.730011,323,323.299988,1030600,321.805542
"2021-11-29",325.339996,335.26001,323.609985,334.279999,1629500,332.734802
"2021-11-30",332.940002,337.529999,329.399994,331.23999,2644800,329.708862
"2021-12-01",333.399994,339.670013,330.829987,330.950012,1813400,329.420227
"2021-12-02",331.730011,342.920013,330.76001,339.670013,1482400,338.099884
"2021-12-03",340.160004,347.040009,336.890015,342.399994,1794700,340.817261
