"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2021-08-25",409.899994,416.679993,408.940002,413.119995,1845300,404.092834
"2021-08-26",415.880005,420.730011,411.160004,412.410004,2076500,403.398346
"2021-08-27",412.779999,419.850006,412.5,419.690002,2174500,410.519287
"2021-08-30",419.950012,420.76001,412.720001,413.600006,2089400,404.562378
"2021-08-31",412.109985,414.859985,408.76001,413.51001,1958100,406.439728
"2021-09-01",413.160004,416.109985,410.309998,413.660004,1680400,406.587158
"2021-09-02",415.109985,417.579987,412.640015,414.5,1830400,407.412811
"2021-09-03",414,415.119995,410.600006,411.309998,1373600,404.277344
"2021-09-07",411,414.730011,409.640015,410.320007,1557000,403.30426
"2021-09-08",409.220001,410.980011,404.700012,405,1646200,398.075226
"2021-09-09",404.670013,408.880005,403.51001,404.579987,2424600,397.662384
"2021-09-10",408,409.790009,403.160004,403.480011,1956000,396.581238
"2021-09-13",407.410004,409.369995,403.799988,409.26001,1802800,402.26239
"2021-09-14",410.299988,417.01001,402.779999,403.690002,3263200,396.787628
"2021-09-15",398,403.609985,396.209991,401.950012,3199800,395.077393
"2021-09-16",404.519989,405.980011,394.890015,396.679993,2882900,389.897461
"2021-09-17",396.320007,399.160004,388.829987,391.459991,3843700,384.766724
"2021-09-20",377.820007,380.859985,372.5,378.130005,3834500,371.664673
"2021-09-21",380.850006,381.5,374.079987,375.839996,2377300,369.413818
"2021-09-22",380.799988,389.290009,379.709991,385.470001,2991300,378.87915
"2021-09-23",390.390015,393.73999,388.179993,391.859985,2518000,385.159851
"2021-09-24",390.470001,392.48999,388.600006,390.850006,1789700,384.167175
"2021-09-27",396.579987,401,395.179993,399.809998,2788500,392.973969
"2021-09-28",400.450012,404.209991,388.390015,389.5,2609000,382.84024
"2021-09-29",390.679993,392.390015,384.299988,384.890015,1955000,378.309082
"2021-09-30",388,388.019989,376.619995,378.029999,2665700,371.566376
"2021-10-01",379.440002,382.720001,375.850006,380,2382300,373.502686
"2021-10-04",380.209991,386.869995,372.820007,374.149994,2895600,367.752716
"2021-10-05",378.100006,388.220001,375.5,385.809998,2508100,379.213348
"2021-10-06",382.380005,389.549988,378.660004,388.049988,2111800,381.415039
"2021-10-07",392.910004,397.850006,389.76001,390.619995,2348000,383.941101
"2021-10-08",390.829987,394.309998,388.179993,392.809998,1446700,386.093658
"2021-10-11",392.899994,396.950012,385.019989,385.23999,1787400,378.653076
"2021-10-12",386.220001,388.589996,381.019989,386.529999,2088200,379.921021
"2021-10-13",388,388.380005,378.630005,386.309998,2391600,379.704773
"2021-10-14",392,393.660004,382.200012,391.200012,3380900,384.5112
"2021-10-15",402.309998,407.269989,396.339996,406.070007,6451400,399.126923
"2021-10-18",408.01001,415.940002,407.600006,413.690002,3832300,406.616638
"2021-10-19",415.179993,415.850006,409.690002,412.160004,2568300,405.112793
"2021-10-20",411,414.329987,406.200012,407.890015,2453400,400.915833
"2021-10-21",406.799988,412.660004,404.619995,407.589996,2162100,400.620941
"2021-10-22",409.98999,415.359985,409.100006,414.320007,2411000,407.23587
"2021-10-25",416.209991,419.48999,413.269989,414.75,1824700,407.658539
"2021-10-26",416.369995,419.809998,413.76001,417.609985,1843300,410.469604
"2021-10-27",416.549988,418.059998,410.549988,410.98999,2067200,403.962799
"2021-10-28",412,414.920013,409.059998,414.820007,1444700,407.727325
"2021-10-29",414.019989,415.959991,411.179993,413.350006,2061700,406.28244
"2021-11-01",417.070007,418.730011,413.25,416.700012,1820800,409.575165
"2021-11-02",415.100006,426.160004,412.790009,423.850006,3000800,416.602936
"2021-11-03",423.119995,424,412.559998,417.899994,3542400,410.754669
"2021-11-04",414.649994,415.98999,403.029999,408.070007,3802300,401.092743
"2021-11-05",411.399994,414.450012,406.100006,407.079987,2105600,400.119659
"2021-11-08",409.890015,413.649994,407.959991,408.339996,1728400,401.358124
"2021-11-09",406.109985,407.579987,400.059998,405.350006,2246900,398.41925
"2021-11-10",402.329987,405.549988,397.25,399.119995,2243900,392.295746
"2021-11-11",400.140015,403.76001,398.51001,402.339996,1252400,395.460693
"2021-11-12",403,405.100006,399.200012,404.910004,1360100,397.986755
"2021-11-15",406,407.339996,403.910004,404.809998,1436500,397.888458
"2021-11-16",403.910004,405.839996,399,403.089996,1311000,396.197845
"2021-11-17",401.850006,402.649994,391.470001,391.549988,2927000,384.855164
"2021-11-18",392.299988,393.920013,385.679993,391.369995,1847400,384.678253
"2021-11-19",382.380005,390.23999,381.040009,387.390015,2610400,380.766327
"2021-11-22",393.160004,402.48999,390.179993,396.160004,3058700,389.386383
"2021-11-23",400.25,406.959991,397.51001,406.339996,2402300,399.392303
"2021-11-24",405,407.480011,398.299988,399.190002,2186300,392.364563
"2021-11-26",384.480011,391.709991,382.720001,389.390015,2687900,382.732147
"2021-11-29",394,396.369995,382.450012,386.540009,2883400,379.930847
"2021-11-30",383.529999,386.829987,377.26001,380.98999,4570400,374.475739
"2021-12-01",383.820007,390.160004,376.209991,376.480011,2476000,371.995667
"2021-12-02",378,389.089996,376.029999,387.540009,3343700,382.92392
"2021-12-03",389.880005,389.880005,379.029999,382.730011,2807500,378.171204
"2021-12-06",388.670013,393.600006,383.48999,389.299988,1990200,384.662933
"2021-12-07",393.579987,401.75,393.059998,400.109985,2441000,395.344177
"2021-12-08",401.230011,401.709991,395.140015,397.320007,1635200,392.587433
"2021-12-09",395.700012,400.190002,393,396.48999,2111500,391.767303
"2021-12-10",398,398.859985,388.660004,391.059998,1893800,386.401978
"2021-12-13",391.190002,391.190002,382.660004,384.640015,2313300,380.058472
"2021-12-14",383.559998,392.5,383.26001,388.820007,2788500,384.18869
"2021-12-15",389.5,391.399994,380.600006,389.910004,2802300,385.265686
"2021-12-16",395.130005,399.839996,391.799988,397.369995,3578200,392.63681
"2021-12-17",389.209991,393.670013,380.630005,381.799988,7058600,377.252289
"2021-12-20",375.519989,375.630005,366.649994,371.609985,3735600,367.183655
"2021-12-21",376.429993,382.089996,374.76001,380.320007,2942800,375.789917
"2021-12-22",380.420013,384.01001,379.269989,382.329987,1487900,377.77597
"2021-12-23",383.790009,387.609985,383.570007,385.040009,1624000,380.453705
"2021-12-27",386.98999,389.109985,385,388.040009,1430400,383.417969
"2021-12-28",388.929993,391.329987,386.23999,387.609985,1528200,382.993073
"2021-12-29",387.970001,389.459991,384.420013,386.200012,1327800,381.599884
"2021-12-30",387.75,389.779999,385.200012,385.519989,1160100,380.927979
"2021-12-31",385,387,380.839996,382.549988,1601300,377.993347
"2022-01-03",389,399.299988,387.339996,395.329987,3334300,390.621094
"2022-01-04",402.230011,410.279999,401.179993,407.480011,3916400,402.626434
