"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2021-10-13",237.229996,238.820007,235.300003,238.509995,168700,236.899841
"2021-10-14",240.580002,244.130005,240.360001,243.699997,145700,242.05481
"2021-10-15",244.410004,247.380005,243.889999,244.720001,138100,243.067932
"2021-10-18",243.809998,245.850006,243.809998,244.479996,108500,242.829544
"2021-10-19",246.029999,247.899994,244.100006,247.889999,96300,246.216522
"2021-10-20",247.070007,249.800003,245.979996,246.160004,102100,244.498215
"2021-10-21",245.479996,251.360001,244.660004,251.330002,160100,249.633301
"2021-10-22",251.470001,255.979996,251.350006,254.029999,205700,252.315079
"2021-10-25",254.649994,257.829987,245.190002,256.130005,156000,254.400909
"2021-10-26",256.130005,256.130005,251.160004,251.169998,132700,249.47438
"2021-10-27",251.360001,252.460007,249.029999,249.229996,93400,247.547485
"2021-10-28",249.889999,252.960007,249,251.050003,102800,249.355194
"2021-10-29",250.539993,254.710007,250.539993,254.210007,203400,252.493866
"2021-11-01",254.899994,259.529999,253.570007,258.73999,183600,256.993286
"2021-11-02",259.880005,262.480011,256.51001,259.470001,163700,257.718384
"2021-11-03",259.859985,264.73999,257.140015,259.709991,115100,257.956726
"2021-11-04",259.940002,264.23999,259.940002,262.720001,123300,260.946381
"2021-11-05",264.25,269.869995,260.01001,261.279999,142700,259.516113
"2021-11-08",262.480011,265.470001,260.059998,262.079987,120500,260.310699
"2021-11-09",261.609985,263.51001,248.809998,262.950012,92700,261.174896
"2021-11-10",262.070007,264.720001,260.790009,263.769989,91700,261.989319
"2021-11-11",263.970001,265.910004,262.01001,264.98999,95200,263.20108
"2021-11-12",265.119995,267.799988,263.48999,267.450012,113500,265.64447
"2021-11-15",267,267,263.98999,265.519989,96400,263.727509
"2021-11-16",266.299988,268.799988,263.179993,267.799988,169500,265.992096
"2021-11-17",268.51001,269.470001,265.130005,269.329987,89600,267.51178
"2021-11-18",269.75,272.279999,268.119995,268.529999,65900,266.717163
